"Status","Year","Parent_department","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Attorney General's Office","London","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","East Midlands (England)","440","410","38240","34480"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","East of England","480","430","40480","34480"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","London","1690","1600","44520","39750"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","North East (England)","340","310","38010","32370"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","North West (England)","960","890","39360","34480"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","South East (England)","690","650","42200","37890"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","South West (England)","290","270","39770","34480"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Wales","360","330","41230","38470"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","West Midlands (England)","560","520","40000","38000"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Yorkshire and The Humber","940","860","41410","38180"
"In post","2021","Attorney General's Departments","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Crown Prosecution Service Inspectorate","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Government Legal Department","London","2440","2270","54510","52040"
"In post","2021","Attorney General's Departments","Government Legal Department","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Government Legal Department","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Government Legal Department","South West (England)","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Government Legal Department","Yorkshire and The Humber","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Serious Fraud Office","London","490","480","46240","40700"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","East of England","120","110","46760","38460"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","London","6500","6410","49780","42260"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","North East (England)","420","390","29430","24570"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","North West (England)","450","450","46810","42410"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Scotland","80","80","48190","49700"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","South East (England)","220","210","42660","33950"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","South West (England)","190","180","53790","49700"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Unknown","600","600","36250","32000"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Wales","70","60","38410","30370"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","West Midlands (England)","50","50","62730","52530"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Yorkshire and The Humber","740","700","36340","33030"
"In post","2021","Chancellor's other departments","Government Actuary's Department","London","200","190","64910","57250"
"In post","2021","Chancellor's other departments","Government Actuary's Department","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","National Savings and Investments","London","160","160","52510","47410"
"In post","2021","Chancellor's other departments","National Savings and Investments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","National Savings and Investments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","National Savings and Investments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","London","70","70","42950","37910"
"In post","2021","Charity Commission","Charity Commission","North West (England)","310","290","32780","29160"
"In post","2021","Charity Commission","Charity Commission","South West (England)","50","50","35580","30350"
"In post","2021","Charity Commission","Charity Commission","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","London","790","760","60810","56630"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Scotland","50","50","56490","55860"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","East Midlands (England)","100","90","29690","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","East of England","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","London","200","190","42390","38670"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","North East (England)","140","130","29960","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","North West (England)","140","130","29840","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Scotland","100","100","30430","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","South East (England)","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","South West (England)","60","50","33460","30970"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Wales","90","90","30920","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","West Midlands (England)","90","80","30970","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","70","60","31800","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Companies House","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Companies House","Scotland","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Companies House","Wales","1030","950","31130","27460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","4900","4800","49450","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","100","90","50140","47350"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Wales","80","70","34620","30360"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","150","150","40000","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","East Midlands (England)","70","70","31350","28130"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","East of England","130","120","30970","27300"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","London","320","300","40670","38510"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","North East (England)","50","50","31030","27720"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","North West (England)","290","280","33370","32060"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Scotland","70","70","25540","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","South East (England)","120","120","30080","26290"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","South West (England)","150","140","30040","26290"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Wales","70","70","28260","26000"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","West Midlands (England)","420","400","31260","26410"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Yorkshire and The Humber","110","110","31290","28310"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","London","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Scotland","80","80","37190","36730"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","South East (England)","90","80","40080","39130"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","South West (England)","1740","1660","40330","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Wales","1490","1410","37580","31010"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Space Agency","London","140","130","47220","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Space Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Space Agency","South West (England)","120","110","45900","49080"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","1710","1680","49440","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","North West (England)","50","50","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Department for Education (excl. agencies)","East Midlands (England)","220","210","41850","37100"
"In post","2021","Department for Education","Department for Education (excl. agencies)","East of England","70","60","46080","46180"
"In post","2021","Department for Education","Department for Education (excl. agencies)","London","2170","2090","50130","53420"
"In post","2021","Department for Education","Department for Education (excl. agencies)","North East (England)","570","540","38500","36780"
"In post","2021","Department for Education","Department for Education (excl. agencies)","North West (England)","930","910","40660","36780"
"In post","2021","Department for Education","Department for Education (excl. agencies)","South West (England)","140","130","46090","42220"
"In post","2021","Department for Education","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Department for Education (excl. agencies)","West Midlands (England)","480","460","39870","36780"
"In post","2021","Department for Education","Department for Education (excl. agencies)","Yorkshire and The Humber","1120","1070","41250","37100"
"In post","2021","Department for Education","Education and Skills Funding Agency","East Midlands (England)","60","60","42010","37100"
"In post","2021","Department for Education","Education and Skills Funding Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Education and Skills Funding Agency","London","310","300","50270","53420"
"In post","2021","Department for Education","Education and Skills Funding Agency","North East (England)","210","210","37330","36500"
"In post","2021","Department for Education","Education and Skills Funding Agency","North West (England)","200","200","38940","36780"
"In post","2021","Department for Education","Education and Skills Funding Agency","South West (England)","80","80","39360","36780"
"In post","2021","Department for Education","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Education and Skills Funding Agency","West Midlands (England)","570","560","42000","37100"
"In post","2021","Department for Education","Education and Skills Funding Agency","Yorkshire and The Humber","370","350","39240","36780"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","London","110","110","53820","53950"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","West Midlands (England)","100","100","44040","49960"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Standards and Testing Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Standards and Testing Agency","London","40","40","[c]","[c]"
"In post","2021","Department for Education","Standards and Testing Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Standards and Testing Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Standards and Testing Agency","West Midlands (England)","60","60","40680","36780"
"In post","2021","Department for Education","Standards and Testing Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Teaching Regulation Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Teaching Regulation Agency","West Midlands (England)","70","70","31090","26000"
"In post","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","East Midlands (England)","80","80","32650","29180"
"In post","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","East of England","150","140","31340","29180"
"In post","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","London","110","100","37060","31800"
"In post","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","North East (England)","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","North West (England)","280","260","27980","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Scotland","130","120","31770","26520"
"In post","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","South East (England)","680","640","32940","28630"
"In post","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","South West (England)","420","400","29100","25100"
"In post","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Wales","320","300","28280","25100"
"In post","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","West Midlands (England)","270","250","29570","26520"
"In post","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Yorkshire and The Humber","210","200","29400","25520"
"In post","2021","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","East of England","460","440","34620","30220"
"In post","2021","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","150","140","32680","29270"
"In post","2021","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","East Midlands (England)","80","80","39680","36590"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","180","170","37450","36190"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","London","2490","2410","45270","39830"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","200","190","39170","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","North West (England)","290","280","40760","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","330","310","41520","37410"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","940","890","40210","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands (England)","220","210","42290","37440"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","650","630","39340","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","East Midlands (England)","70","70","25880","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","East of England","60","50","27470","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","North East (England)","310","290","27530","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","North West (England)","870","770","24970","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","South East (England)","200","190","30450","25950"
"In post","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","South West (England)","280","250","27690","25610"
"In post","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","West Midlands (England)","150","140","25670","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Yorkshire and The Humber","230","220","27330","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","South East (England)","170","160","42670","38820"
"In post","2021","Department for International Trade","Department for International Trade","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","London","2320","2290","45240","38950"
"In post","2021","Department for International Trade","Department for International Trade","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","Overseas","160","160","56610","54470"
"In post","2021","Department for International Trade","Department for International Trade","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","South East (England)","120","120","46620","51710"
"In post","2021","Department for International Trade","Department for International Trade","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","London","3070","3000","48330","43800"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","South East (England)","250","230","47370","39040"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","Wales","40","40","[c]","[c]"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","West Midlands (England)","60","60","34990","30730"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Department for Transport","Driver and Vehicle Licensing Agency","Wales","6230","5490","26100","21590"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","East Midlands (England)","550","520","32180","27680"
