"Status","Year","Disability","Region_ITL2","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Unknown","40","40","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","AA/AO","590","540","22010","21010"
"In post","2021","Declared disabled","Eastern Scotland","EO","640","580","28790","27570"
"In post","2021","Declared disabled","Eastern Scotland","G6/G7","190","180","60830","61010"
"In post","2021","Declared disabled","Eastern Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","SEO/HEO","500","470","38290","38370"
"In post","2021","Declared disabled","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","AA/AO","210","180","23710","22980"
"In post","2021","Declared disabled","Essex","EO","310","280","29180","29290"
"In post","2021","Declared disabled","Essex","G6/G7","30","30","[c]","[c]"
"In post","2021","Declared disabled","Essex","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","SEO/HEO","100","100","37630","36310"
"In post","2021","Declared disabled","Essex","Unknown","50","40","[c]","[c]"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","440","400","21630","21010"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","EO","700","640","25960","26910"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","390","370","55960","54540"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","1220","1170","36070","35900"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","230","220","36250","33140"
"In post","2021","Declared disabled","Greater Manchester","AA/AO","670","590","21100","21010"
"In post","2021","Declared disabled","Greater Manchester","EO","690","640","26830","27570"
"In post","2021","Declared disabled","Greater Manchester","G6/G7","170","170","55530","52580"
"In post","2021","Declared disabled","Greater Manchester","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Greater Manchester","SEO/HEO","480","450","34950","33190"
"In post","2021","Declared disabled","Greater Manchester","Unknown","120","110","30740","31420"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","AA/AO","520","440","21300","20920"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","EO","460","420","27130","27570"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","G6/G7","150","140","54250","51820"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","SEO/HEO","470","450","35430","34290"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","Unknown","60","60","31950","31420"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","AA/AO","180","160","22760","21010"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","EO","130","120","27060","27570"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","60","60","35630","34550"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Unknown","50","50","29660","29200"
"In post","2021","Declared disabled","Highlands and Islands","AA/AO","60","50","21650","21010"
"In post","2021","Declared disabled","Highlands and Islands","EO","90","80","28510","27570"
"In post","2021","Declared disabled","Highlands and Islands","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inner London - East","AA/AO","320","290","25210","25060"
"In post","2021","Declared disabled","Inner London - East","EO","510","480","30870","31060"
"In post","2021","Declared disabled","Inner London - East","G6/G7","240","230","60670","59160"
"In post","2021","Declared disabled","Inner London - East","SCS","30","30","[c]","[c]"
"In post","2021","Declared disabled","Inner London - East","SEO/HEO","350","340","39630","38660"
"In post","2021","Declared disabled","Inner London - East","Unknown","120","120","33830","32090"
"In post","2021","Declared disabled","Inner London - West","AA/AO","500","460","25240","24490"
"In post","2021","Declared disabled","Inner London - West","EO","880","840","29580","29560"
"In post","2021","Declared disabled","Inner London - West","G6/G7","1620","1570","60030","58600"
"In post","2021","Declared disabled","Inner London - West","SCS","250","240","88470","79370"
"In post","2021","Declared disabled","Inner London - West","SEO/HEO","1900","1860","38300","37640"
"In post","2021","Declared disabled","Inner London - West","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Kent","AA/AO","330","300","23790","23240"
"In post","2021","Declared disabled","Kent","EO","380","350","28850","29290"
"In post","2021","Declared disabled","Kent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Kent","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Kent","SEO/HEO","170","160","37760","36710"
"In post","2021","Declared disabled","Kent","Unknown","60","60","30010","28200"
"In post","2021","Declared disabled","Lancashire","AA/AO","820","710","21480","21010"
"In post","2021","Declared disabled","Lancashire","EO","680","610","27260","27570"
"In post","2021","Declared disabled","Lancashire","G6/G7","60","60","54830","52670"
"In post","2021","Declared disabled","Lancashire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Lancashire","SEO/HEO","300","280","34810","33840"
"In post","2021","Declared disabled","Lancashire","Unknown","70","60","29310","28200"
"In post","2021","Declared disabled","Leicestershire, Rutland and Northamptonshire","AA/AO","350","310","21180","21000"
"In post","2021","Declared disabled","Leicestershire, Rutland and Northamptonshire","EO","230","210","27050","27570"
"In post","2021","Declared disabled","Leicestershire, Rutland and Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Leicestershire, Rutland and Northamptonshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Leicestershire, Rutland and Northamptonshire","SEO/HEO","80","80","36460","34290"
"In post","2021","Declared disabled","Leicestershire, Rutland and Northamptonshire","Unknown","60","50","29640","30210"
"In post","2021","Declared disabled","Lincolnshire","AA/AO","150","140","21760","21010"
"In post","2021","Declared disabled","Lincolnshire","EO","120","110","27710","27570"
"In post","2021","Declared disabled","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Lincolnshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Lincolnshire","SEO/HEO","80","70","35900","34290"
"In post","2021","Declared disabled","Lincolnshire","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Merseyside","AA/AO","900","770","20970","21010"
"In post","2021","Declared disabled","Merseyside","EO","760","660","26700","27570"
"In post","2021","Declared disabled","Merseyside","G6/G7","130","120","55170","52590"
"In post","2021","Declared disabled","Merseyside","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Merseyside","SEO/HEO","400","370","35180","33840"
"In post","2021","Declared disabled","Merseyside","Unknown","90","80","30590","30210"
"In post","2021","Declared disabled","North Eastern Scotland","AA/AO","40","40","[c]","[c]"
"In post","2021","Declared disabled","North Eastern Scotland","EO","40","40","[c]","[c]"
"In post","2021","Declared disabled","North Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North Eastern Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North Eastern Scotland","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Declared disabled","North Yorkshire","AA/AO","130","120","21790","21010"
"In post","2021","Declared disabled","North Yorkshire","EO","110","100","27190","27570"
"In post","2021","Declared disabled","North Yorkshire","G6/G7","60","60","57180","55610"
"In post","2021","Declared disabled","North Yorkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North Yorkshire","SEO/HEO","120","120","35320","33400"
"In post","2021","Declared disabled","North Yorkshire","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","AA/AO","140","130","21130","20810"
"In post","2021","Declared disabled","Northern Ireland","EO","90","80","26500","25900"
"In post","2021","Declared disabled","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","SEO/HEO","80","70","34230","31870"
"In post","2021","Declared disabled","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northumberland and Tyne and Wear","AA/AO","1060","890","20760","21010"
"In post","2021","Declared disabled","Northumberland and Tyne and Wear","EO","640","570","26870","27570"
"In post","2021","Declared disabled","Northumberland and Tyne and Wear","G6/G7","110","100","54340","52580"
"In post","2021","Declared disabled","Northumberland and Tyne and Wear","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northumberland and Tyne and Wear","SEO/HEO","420","390","33910","31990"
"In post","2021","Declared disabled","Northumberland and Tyne and Wear","Unknown","80","80","29420","28200"
"In post","2021","Declared disabled","Outer London - East and North East","AA/AO","140","130","25120","24510"
"In post","2021","Declared disabled","Outer London - East and North East","EO","260","230","31180","31060"
"In post","2021","Declared disabled","Outer London - East and North East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outer London - East and North East","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Declared disabled","Outer London - East and North East","Unknown","60","50","32330","28690"
"In post","2021","Declared disabled","Outer London - South","AA/AO","210","180","24350","25630"
"In post","2021","Declared disabled","Outer London - South","EO","370","340","29910","29570"
"In post","2021","Declared disabled","Outer London - South","G6/G7","130","120","63690","61640"
"In post","2021","Declared disabled","Outer London - South","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outer London - South","SEO/HEO","340","320","39730","39030"
"In post","2021","Declared disabled","Outer London - South","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Outer London - West and North West","AA/AO","210","190","25390","25110"
"In post","2021","Declared disabled","Outer London - West and North West","EO","430","380","30220","31060"
"In post","2021","Declared disabled","Outer London - West and North West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outer London - West and North West","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outer London - West and North West","SEO/HEO","160","150","38150","36950"
"In post","2021","Declared disabled","Outer London - West and North West","Unknown","50","50","34820","35310"
"In post","2021","Declared disabled","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","G6/G7","90","90","60260","58330"
"In post","2021","Declared disabled","Overseas","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","SEO/HEO","90","90","36420","34770"
"In post","2021","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Shropshire and Staffordshire","AA/AO","380","350","22280","21010"
"In post","2021","Declared disabled","Shropshire and Staffordshire","EO","370","330","27540","27570"
"In post","2021","Declared disabled","Shropshire and Staffordshire","G6/G7","50","40","[c]","[c]"
"In post","2021","Declared disabled","Shropshire and Staffordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Shropshire and Staffordshire","SEO/HEO","210","200","37350","36380"
"In post","2021","Declared disabled","Shropshire and Staffordshire","Unknown","60","60","31550","31420"
"In post","2021","Declared disabled","South Yorkshire","AA/AO","390","330","21390","21010"
"In post","2021","Declared disabled","South Yorkshire","EO","370","330","26960","27570"
"In post","2021","Declared disabled","South Yorkshire","G6/G7","110","100","55400","52280"
"In post","2021","Declared disabled","South Yorkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South Yorkshire","SEO/HEO","290","270","35050","34290"
"In post","2021","Declared disabled","South Yorkshire","Unknown","70","60","31250","31800"
"In post","2021","Declared disabled","Southern Scotland","AA/AO","180","150","21230","21010"
"In post","2021","Declared disabled","Southern Scotland","EO","170","150","26680","27570"
"In post","2021","Declared disabled","Southern Scotland","G6/G7","40","40","[c]","[c]"
"In post","2021","Declared disabled","Southern Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Southern Scotland","SEO/HEO","110","110","34880","33930"
"In post","2021","Declared disabled","Surrey, East and West Sussex","AA/AO","330","290","23010","21010"
"In post","2021","Declared disabled","Surrey, East and West Sussex","EO","370","330","28110","27570"
"In post","2021","Declared disabled","Surrey, East and West Sussex","G6/G7","40","40","[c]","[c]"
"In post","2021","Declared disabled","Surrey, East and West Sussex","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Surrey, East and West Sussex","SEO/HEO","150","140","36780","35000"
"In post","2021","Declared disabled","Surrey, East and West Sussex","Unknown","60","50","28820","27260"
"In post","2021","Declared disabled","Tees Valley and Durham","AA/AO","500","430","22170","21010"
"In post","2021","Declared disabled","Tees Valley and Durham","EO","360","310","27530","27570"
"In post","2021","Declared disabled","Tees Valley and Durham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Tees Valley and Durham","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Tees Valley and Durham","SEO/HEO","150","140","35600","34320"
"In post","2021","Declared disabled","Tees Valley and Durham","Unknown","60","60","30620","28200"
"In post","2021","Declared disabled","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","EO","100","90","27990","27570"
"In post","2021","Declared disabled","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Central Scotland","AA/AO","740","640","21420","21010"
"In post","2021","Declared disabled","West Central Scotland","EO","550","490","27710","27570"
"In post","2021","Declared disabled","West Central Scotland","G6/G7","70","70","57760","56120"
"In post","2021","Declared disabled","West Central Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Central Scotland","SEO/HEO","370","350","36860","34430"
"In post","2021","Declared disabled","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands","AA/AO","620","540","20840","20880"
"In post","2021","Declared disabled","West Midlands","EO","780","690","26890","27570"
"In post","2021","Declared disabled","West Midlands","G6/G7","130","120","55540","52580"
"In post","2021","Declared disabled","West Midlands","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands","SEO/HEO","440","410","34840","33150"
"In post","2021","Declared disabled","West Midlands","Unknown","130","120","30260","30210"
"In post","2021","Declared disabled","West Wales and The Valleys","AA/AO","890","740","20730","21010"
"In post","2021","Declared disabled","West Wales and The Valleys","EO","500","440","27250","27570"
"In post","2021","Declared disabled","West Wales and The Valleys","G6/G7","40","30","[c]","[c]"
"In post","2021","Declared disabled","West Wales and The Valleys","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Wales and The Valleys","SEO/HEO","210","200","36900","36630"
"In post","2021","Declared disabled","West Wales and The Valleys","Unknown","120","110","29250","28200"
"In post","2021","Declared disabled","West Yorkshire","AA/AO","510","430","21540","21010"
"In post","2021","Declared disabled","West Yorkshire","EO","590","530","26900","27570"
"In post","2021","Declared disabled","West Yorkshire","G6/G7","150","140","55500","52580"
"In post","2021","Declared disabled","West Yorkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Yorkshire","SEO/HEO","430","410","35130","34290"
"In post","2021","Declared disabled","West Yorkshire","Unknown","120","110","31280","30210"
"In post","2021","Declared non-disabled","Bedfordshire and Hertfordshire","AA/AO","870","810","24570","22980"
"In post","2021","Declared non-disabled","Bedfordshire and Hertfordshire","EO","1170","1070","28920","29290"
"In post","2021","Declared non-disabled","Bedfordshire and Hertfordshire","G6/G7","210","200","60340","59730"
"In post","2021","Declared non-disabled","Bedfordshire and Hertfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Bedfordshire and Hertfordshire","SEO/HEO","660","630","38570","37640"
"In post","2021","Declared non-disabled","Bedfordshire and Hertfordshire","Unknown","190","170","29410","28200"
"In post","2021","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","2280","2170","25060","22920"
"In post","2021","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","1650","1570","28900","27570"
"In post","2021","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","520","480","60120","57460"
"In post","2021","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","SCS","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","1570","1510","38260","36990"
"In post","2021","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","330","310","29590","28200"
"In post","2021","Declared non-disabled","Cheshire","AA/AO","760","680","22990","21010"
"In post","2021","Declared non-disabled","Cheshire","EO","730","690","28650","27570"
"In post","2021","Declared non-disabled","Cheshire","G6/G7","130","130","56780","55080"
"In post","2021","Declared non-disabled","Cheshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Cheshire","SEO/HEO","470","450","39100","38160"
"In post","2021","Declared non-disabled","Cheshire","Unknown","140","140","30180","30210"
"In post","2021","Declared non-disabled","Cornwall and Isles of Scilly","AA/AO","490","440","20810","21010"
"In post","2021","Declared non-disabled","Cornwall and Isles of Scilly","EO","460","420","27280","27570"
"In post","2021","Declared non-disabled","Cornwall and Isles of Scilly","G6/G7","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Cornwall and Isles of Scilly","SEO/HEO","160","150","35690","34290"
"In post","2021","Declared non-disabled","Cornwall and Isles of Scilly","Unknown","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Cumbria","AA/AO","750","660","21630","21050"
"In post","2021","Declared non-disabled","Cumbria","EO","450","400","26080","26030"
"In post","2021","Declared non-disabled","Cumbria","G6/G7","60","60","53560","51470"
"In post","2021","Declared non-disabled","Cumbria","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Cumbria","SEO/HEO","230","220","34410","32610"
"In post","2021","Declared non-disabled","Cumbria","Unknown","190","180","37880","34340"
"In post","2021","Declared non-disabled","Derbyshire and Nottinghamshire","AA/AO","2330","2100","22160","21010"
"In post","2021","Declared non-disabled","Derbyshire and Nottinghamshire","EO","2290","2090","26760","27570"
"In post","2021","Declared non-disabled","Derbyshire and Nottinghamshire","G6/G7","850","810","57460","53430"
"In post","2021","Declared non-disabled","Derbyshire and Nottinghamshire","SCS","60","60","89940","83850"
"In post","2021","Declared non-disabled","Derbyshire and Nottinghamshire","SEO/HEO","2190","2060","35720","33840"
"In post","2021","Declared non-disabled","Derbyshire and Nottinghamshire","Unknown","330","300","30530","30210"
"In post","2021","Declared non-disabled","Devon","AA/AO","2000","1780","22180","21010"
"In post","2021","Declared non-disabled","Devon","EO","1650","1500","26890","27570"
"In post","2021","Declared non-disabled","Devon","G6/G7","750","710","54610","51960"
"In post","2021","Declared non-disabled","Devon","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Devon","SEO/HEO","1950","1840","37620","38160"
"In post","2021","Declared non-disabled","Devon","Unknown","220","210","34380","32300"
"In post","2021","Declared non-disabled","Dorset and Somerset","AA/AO","1140","1060","22340","21010"
"In post","2021","Declared non-disabled","Dorset and Somerset","EO","1130","1020","27400","27570"
"In post","2021","Declared non-disabled","Dorset and Somerset","G6/G7","130","120","57950","54430"
"In post","2021","Declared non-disabled","Dorset and Somerset","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Dorset and Somerset","SEO/HEO","980","930","36490","34150"
"In post","2021","Declared non-disabled","Dorset and Somerset","Unknown","160","140","28640","28200"
"In post","2021","Declared non-disabled","East Anglia","AA/AO","3340","3050","23150","21430"
"In post","2021","Declared non-disabled","East Anglia","EO","2320","2150","27390","27570"
"In post","2021","Declared non-disabled","East Anglia","G6/G7","480","460","59020","55610"
"In post","2021","Declared non-disabled","East Anglia","SCS","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","East Anglia","SEO/HEO","1990","1900","36070","33840"
"In post","2021","Declared non-disabled","East Anglia","Unknown","370","340","29580","30210"
"In post","2021","Declared non-disabled","East Wales","AA/AO","3540","3210","21620","21010"
"In post","2021","Declared non-disabled","East Wales","EO","3620","3360","26950","27570"
"In post","2021","Declared non-disabled","East Wales","G6/G7","1800","1720","58260","58210"
"In post","2021","Declared non-disabled","East Wales","SCS","210","200","86430","78460"
"In post","2021","Declared non-disabled","East Wales","SEO/HEO","4000","3810","36870","37020"
"In post","2021","Declared non-disabled","East Wales","Unknown","340","320","30320","30210"
"In post","2021","Declared non-disabled","East Yorkshire and Northern Lincolnshire","AA/AO","1460","1320","23770","21710"
"In post","2021","Declared non-disabled","East Yorkshire and Northern Lincolnshire","EO","1190","1090","27700","27570"
"In post","2021","Declared non-disabled","East Yorkshire and Northern Lincolnshire","G6/G7","60","60","61330","58040"
"In post","2021","Declared non-disabled","East Yorkshire and Northern Lincolnshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","East Yorkshire and Northern Lincolnshire","SEO/HEO","430","400","36760","33840"
"In post","2021","Declared non-disabled","East Yorkshire and Northern Lincolnshire","Unknown","190","170","30160","30210"
"In post","2021","Declared non-disabled","Eastern Scotland","AA/AO","2860","2630","21680","21010"
"In post","2021","Declared non-disabled","Eastern Scotland","EO","2510","2340","27680","27570"
