"Status","Year","Sexual_orientation","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Female","Accountant in Bankruptcy","50","40","32060","29190"
"In post","2021","Heterosexual / straight","Female","Advisory, Conciliation and Arbitration Service","380","340","33780","31240"
"In post","2021","Heterosexual / straight","Female","Animal and Plant Health Agency","1170","1090","29310","25520"
"In post","2021","Heterosexual / straight","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Cabinet Office (excl. agencies)","2470","2370","45960","40580"
"In post","2021","Heterosexual / straight","Female","Centre for Environment, Fisheries and Aquaculture Science","110","100","32680","29270"
"In post","2021","Heterosexual / straight","Female","Charity Commission","130","120","34350","29160"
"In post","2021","Heterosexual / straight","Female","Companies House","430","380","30060","24900"
"In post","2021","Heterosexual / straight","Female","Competition and Markets Authority","360","350","58160","55860"
"In post","2021","Heterosexual / straight","Female","Criminal Injuries Compensation Authority","120","100","27150","22710"
"In post","2021","Heterosexual / straight","Female","Crown Commercial Service","300","280","37040","34800"
"In post","2021","Heterosexual / straight","Female","Crown Office and Procurator Fiscal Service","1270","1160","34420","29040"
"In post","2021","Heterosexual / straight","Female","Crown Prosecution Service","3240","2960","39340","33310"
"In post","2021","Heterosexual / straight","Female","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Defence Equipment and Support","2920","2730","34070","31600"
"In post","2021","Heterosexual / straight","Female","Defence Science and Technology Laboratory","1190","1100","37900","37320"
"In post","2021","Heterosexual / straight","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","1900","1820","48160","47780"
"In post","2021","Heterosexual / straight","Female","Department for Digital, Culture, Media and Sport","700","670","48940","51730"
"In post","2021","Heterosexual / straight","Female","Department for Education (excl. agencies)","2430","2290","43600","40230"
"In post","2021","Heterosexual / straight","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","2120","2000","41430","36970"
"In post","2021","Heterosexual / straight","Female","Department for International Trade","740","720","45780","40290"
"In post","2021","Heterosexual / straight","Female","Department for Transport (excl. agencies)","1070","1020","47240","43360"
"In post","2021","Heterosexual / straight","Female","Department for Work and Pensions (excl. agencies)","39010","34060","27530","27570"
"In post","2021","Heterosexual / straight","Female","Department of Health and Social Care (excl. agencies)","840","790","46900","42000"
"In post","2021","Heterosexual / straight","Female","Disclosure Scotland","90","80","29290","26030"
"In post","2021","Heterosexual / straight","Female","Driver and Vehicle Licensing Agency","2270","1930","24890","21590"
"In post","2021","Heterosexual / straight","Female","Driver and Vehicle Standards Agency","790","730","29710","26780"
"In post","2021","Heterosexual / straight","Female","Education and Skills Funding Agency","700","660","41010","36960"
"In post","2021","Heterosexual / straight","Female","Education Scotland","130","130","57450","65650"
"In post","2021","Heterosexual / straight","Female","ESTYN","60","50","53540","62360"
"In post","2021","Heterosexual / straight","Female","FCDO Services","250","240","39210","32670"
"In post","2021","Heterosexual / straight","Female","Food Standards Agency","390","370","39120","37910"
"In post","2021","Heterosexual / straight","Female","Food Standards Scotland","70","70","35600","33620"
"In post","2021","Heterosexual / straight","Female","Foreign, Commonwealth and Development Office (excl. agencies)","2720","2630","47070","41000"
"In post","2021","Heterosexual / straight","Female","Forestry and Land Scotland","90","90","33980","30160"
"In post","2021","Heterosexual / straight","Female","Government Actuary's Department","60","60","61570","64100"
"In post","2021","Heterosexual / straight","Female","Government Internal Audit Agency","200","190","45600","42720"
"In post","2021","Heterosexual / straight","Female","Government Legal Department","1090","1000","53390","51830"
"In post","2021","Heterosexual / straight","Female","Government Property Agency","80","70","46050","45200"
"In post","2021","Heterosexual / straight","Female","Health and Safety Executive","950","860","38260","35510"
"In post","2021","Heterosexual / straight","Female","HM Courts and Tribunals Service","8620","7520","24450","21170"
"In post","2021","Heterosexual / straight","Female","HM Land Registry","2170","1910","31080","27130"
"In post","2021","Heterosexual / straight","Female","HM Prison and Probation Service","19080","17730","29680","27380"
"In post","2021","Heterosexual / straight","Female","HM Revenue and Customs (excl. agencies)","18710","16600","31730","28130"
"In post","2021","Heterosexual / straight","Female","HM Treasury (excl. agencies)","760","740","46810","42900"
"In post","2021","Heterosexual / straight","Female","Home Office (incl. agencies)","14900","13410","31300","27240"
"In post","2021","Heterosexual / straight","Female","Insolvency Service","550","510","33050","29940"
"In post","2021","Heterosexual / straight","Female","Institute for Apprenticeships and Technical Education","80","80","47940","49960"
"In post","2021","Heterosexual / straight","Female","Legal Aid Agency","580","530","27790","22570"
"In post","2021","Heterosexual / straight","Female","Maritime and Coastguard Agency","350","320","32930","31040"
"In post","2021","Heterosexual / straight","Female","Medicines and Healthcare Products Regulatory Agency","480","470","45200","40850"
"In post","2021","Heterosexual / straight","Female","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Ministry of Defence (excl. agencies)","12820","12120","30740","26670"
"In post","2021","Heterosexual / straight","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","1040","1000","45450","40400"
"In post","2021","Heterosexual / straight","Female","Ministry of Justice (excl. agencies)","2180","2090","40530","36800"
"In post","2021","Heterosexual / straight","Female","National Crime Agency","1840","1760","37210","36200"
"In post","2021","Heterosexual / straight","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","National Records of Scotland","110","100","38920","35110"
"In post","2021","Heterosexual / straight","Female","National Savings and Investments","80","70","46710","43180"
"In post","2021","Heterosexual / straight","Female","Northern Ireland Office","50","50","44140","36860"
"In post","2021","Heterosexual / straight","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Office for Standards in Education, Children's Services and Skills","990","940","49150","51360"
"In post","2021","Heterosexual / straight","Female","Office of Gas and Electricity Markets","220","220","42830","38000"
"In post","2021","Heterosexual / straight","Female","Office of Qualifications and Examinations Regulation","100","100","41930","38510"
"In post","2021","Heterosexual / straight","Female","Office of Rail and Road","80","70","49590","50810"
"In post","2021","Heterosexual / straight","Female","Office of the Public Guardian","610","550","22170","20440"
"In post","2021","Heterosexual / straight","Female","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Planning Inspectorate","280","250","42050","40720"
"In post","2021","Heterosexual / straight","Female","Public Health England","3340","3010","40420","36330"
"In post","2021","Heterosexual / straight","Female","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Registers of Scotland","320","300","33440","30080"
"In post","2021","Heterosexual / straight","Female","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Rural Payments Agency","550","470","27530","25190"
"In post","2021","Heterosexual / straight","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Scottish Courts and Tribunals Service","60","60","30910","26550"
"In post","2021","Heterosexual / straight","Female","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Scottish Forestry","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Scottish Government (excl. agencies)","2950","2770","43200","39110"
"In post","2021","Heterosexual / straight","Female","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Scottish Prison Service","440","410","32600","33650"
"In post","2021","Heterosexual / straight","Female","Scottish Public Pensions Agency","80","70","28920","26160"
"In post","2021","Heterosexual / straight","Female","Serious Fraud Office","140","130","44650","40000"
"In post","2021","Heterosexual / straight","Female","Social Security Scotland","480","460","30810","26160"
"In post","2021","Heterosexual / straight","Female","Standards and Testing Agency","70","70","43160","40500"
"In post","2021","Heterosexual / straight","Female","Student Awards Agency for Scotland","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Submarine Delivery Agency","430","410","37800","34530"
"In post","2021","Heterosexual / straight","Female","Teaching Regulation Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","The National Archives","130","120","35060","33170"
"In post","2021","Heterosexual / straight","Female","Transport Scotland","150","140","40920","35110"
"In post","2021","Heterosexual / straight","Female","UK Export Finance","130","120","47970","43000"
"In post","2021","Heterosexual / straight","Female","UK Hydrographic Office","190","170","34520","33290"
"In post","2021","Heterosexual / straight","Female","UK Intellectual Property Office","430","390","35260","30170"
"In post","2021","Heterosexual / straight","Female","UK Space Agency","80","80","44110","40050"
"In post","2021","Heterosexual / straight","Female","UK Supreme Court","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","United Kingdom Statistics Authority","2050","1800","31950","29540"
"In post","2021","Heterosexual / straight","Female","Valuation Office Agency","1080","960","32820","29710"
"In post","2021","Heterosexual / straight","Female","Vehicle Certification Agency","60","50","29530","27250"
"In post","2021","Heterosexual / straight","Female","Veterinary Medicines Directorate","70","60","37800","35030"
"In post","2021","Heterosexual / straight","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Water Services Regulation Authority","60","50","57100","51460"
"In post","2021","Heterosexual / straight","Female","Welsh Government (excl. agencies)","2830","2610","39650","37410"
"In post","2021","Heterosexual / straight","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Female","Wilton Park","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Accountant in Bankruptcy","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Advisory, Conciliation and Arbitration Service","250","240","36290","34500"
"In post","2021","Heterosexual / straight","Male","Animal and Plant Health Agency","710","690","32350","29180"
"In post","2021","Heterosexual / straight","Male","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Cabinet Office (excl. agencies)","1940","1920","50540","49700"
"In post","2021","Heterosexual / straight","Male","Centre for Environment, Fisheries and Aquaculture Science","110","110","34940","30220"
"In post","2021","Heterosexual / straight","Male","Charity Commission","100","100","34560","29160"
"In post","2021","Heterosexual / straight","Male","Companies House","290","280","34620","32810"
"In post","2021","Heterosexual / straight","Male","Competition and Markets Authority","320","320","61680","58320"
"In post","2021","Heterosexual / straight","Male","Criminal Injuries Compensation Authority","70","70","25840","22640"
"In post","2021","Heterosexual / straight","Male","Crown Commercial Service","260","260","40600","35420"
"In post","2021","Heterosexual / straight","Male","Crown Office and Procurator Fiscal Service","470","450","37130","31720"
"In post","2021","Heterosexual / straight","Male","Crown Prosecution Service","1550","1510","44330","48080"
"In post","2021","Heterosexual / straight","Male","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Defence Electronics and Components Agency","110","110","28590","27460"
"In post","2021","Heterosexual / straight","Male","Defence Equipment and Support","5550","5450","37760","35630"
"In post","2021","Heterosexual / straight","Male","Defence Science and Technology Laboratory","1890","1850","41750","40850"
"In post","2021","Heterosexual / straight","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","1890","1870","50810","53380"
"In post","2021","Heterosexual / straight","Male","Department for Digital, Culture, Media and Sport","550","550","50570","51730"
"In post","2021","Heterosexual / straight","Male","Department for Education (excl. agencies)","1570","1560","45560","41990"
"In post","2021","Heterosexual / straight","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","1660","1640","43950","39370"
"In post","2021","Heterosexual / straight","Male","Department for International Trade","810","800","47070","42160"
"In post","2021","Heterosexual / straight","Male","Department for Transport (excl. agencies)","1210","1190","51060","46710"
"In post","2021","Heterosexual / straight","Male","Department for Work and Pensions (excl. agencies)","19720","18990","28630","27570"
"In post","2021","Heterosexual / straight","Male","Department of Health and Social Care (excl. agencies)","540","530","49990","49530"
"In post","2021","Heterosexual / straight","Male","Disclosure Scotland","100","90","29840","24110"
"In post","2021","Heterosexual / straight","Male","Driver and Vehicle Licensing Agency","1560","1510","29690","25910"
"In post","2021","Heterosexual / straight","Male","Driver and Vehicle Standards Agency","1990","1910","30480","27680"
"In post","2021","Heterosexual / straight","Male","Education and Skills Funding Agency","510","510","41870","36960"
"In post","2021","Heterosexual / straight","Male","Education Scotland","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","ESTYN","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","FCDO Services","560","540","40960","38760"
"In post","2021","Heterosexual / straight","Male","Food Standards Agency","470","460","37490","32830"
"In post","2021","Heterosexual / straight","Male","Food Standards Scotland","70","60","36350","30650"
"In post","2021","Heterosexual / straight","Male","Foreign, Commonwealth and Development Office (excl. agencies)","2380","2360","50380","48840"
"In post","2021","Heterosexual / straight","Male","Forestry and Land Scotland","130","120","35280","35330"
"In post","2021","Heterosexual / straight","Male","Government Actuary's Department","100","90","71170","60780"
"In post","2021","Heterosexual / straight","Male","Government Internal Audit Agency","190","190","51260","49750"
"In post","2021","Heterosexual / straight","Male","Government Legal Department","530","520","52870","51250"
"In post","2021","Heterosexual / straight","Male","Government Property Agency","90","90","54480","53140"
"In post","2021","Heterosexual / straight","Male","Health and Safety Executive","880","860","48630","45870"
"In post","2021","Heterosexual / straight","Male","HM Courts and Tribunals Service","3190","3070","25760","21310"
"In post","2021","Heterosexual / straight","Male","HM Land Registry","1370","1300","33680","31740"
"In post","2021","Heterosexual / straight","Male","HM Prison and Probation Service","18410","17800","31230","30400"
