"Status","Year","Region_ITL1","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Asian","260","260","25200","25000"
"In post","2021","East Midlands (England)","20-29","Black","50","50","24130","22890"
"In post","2021","East Midlands (England)","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Mixed","60","60","25480","25560"
"In post","2021","East Midlands (England)","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Undeclared","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Unknown","770","750","24540","24440"
"In post","2021","East Midlands (England)","20-29","White","1810","1770","25660","25380"
"In post","2021","East Midlands (England)","30-39","Asian","410","370","26940","25560"
"In post","2021","East Midlands (England)","30-39","Black","110","100","25630","25560"
"In post","2021","East Midlands (England)","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Mixed","110","110","29330","27570"
"In post","2021","East Midlands (England)","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Undeclared","130","120","28400","26990"
"In post","2021","East Midlands (England)","30-39","Unknown","660","620","27110","25560"
"In post","2021","East Midlands (England)","30-39","White","2810","2630","29610","27570"
"In post","2021","East Midlands (England)","40-49","Asian","460","400","28030","26000"
"In post","2021","East Midlands (England)","40-49","Black","110","110","26660","26330"
"In post","2021","East Midlands (England)","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Mixed","80","70","33140","28430"
"In post","2021","East Midlands (England)","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","40-49","Undeclared","250","230","32050","28130"
"In post","2021","East Midlands (England)","40-49","Unknown","550","520","29880","27130"
"In post","2021","East Midlands (England)","40-49","White","3510","3250","31820","27570"
"In post","2021","East Midlands (England)","50-59","Asian","450","410","27480","25600"
