"Status","Year","Function_of_post","Region_ITL3","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedford","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bradford","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","30-39","70","70","40290","39280"
"In post","2021","Analysis","Bristol, City of","40-49","30","30","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","20-29","70","70","37560","36160"
"In post","2021","Analysis","Camden and City of London","30-39","70","70","66430","65470"
"In post","2021","Analysis","Camden and City of London","40-49","60","50","86630","89720"
"In post","2021","Analysis","Camden and City of London","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","20-29","80","80","30900","28650"
"In post","2021","Analysis","Central Hampshire","30-39","110","110","41090","40580"
"In post","2021","Analysis","Central Hampshire","40-49","80","70","45800","46080"
"In post","2021","Analysis","Central Hampshire","50-59","60","50","46030","46130"
"In post","2021","Analysis","Central Hampshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire East","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Darlington","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Darlington","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Darlington","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Darlington","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon CC","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon CC","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon CC","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset CC","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset CC","30-39","30","30","[c]","[c]"
"In post","2021","Analysis","Dorset CC","40-49","40","40","[c]","[c]"
"In post","2021","Analysis","Dorset CC","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset CC","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Durham CC","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Derbyshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Kent","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Riding of Yorkshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","20-29","[c]","[c]","[c]","[c]"
