"Status","Year","Function_of_post","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Centre for Environment, Fisheries and Aquaculture Science","210","190","30970","29270"
"In post","2021","Analysis","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Competition and Markets Authority","60","50","57500","56360"
"In post","2021","Analysis","Female","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Defence Science and Technology Laboratory","140","130","37880","37320"
"In post","2021","Analysis","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","100","42610","35640"
"In post","2021","Analysis","Female","Department for Digital, Culture, Media and Sport","50","50","53780","59730"
"In post","2021","Analysis","Female","Department for Education (excl. agencies)","220","200","43850","42580"
"In post","2021","Analysis","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Analysis","Female","Department for International Trade","100","100","41910","38160"
"In post","2021","Analysis","Female","Department for Transport (excl. agencies)","180","170","47630","44030"
"In post","2021","Analysis","Female","Department of Health and Social Care (excl. agencies)","150","130","52140","53360"
"In post","2021","Analysis","Female","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Government Actuary's Department","60","50","67910","65470"
"In post","2021","Analysis","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","HM Revenue and Customs (excl. agencies)","280","260","44290","38630"
"In post","2021","Analysis","Female","HM Treasury (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Analysis","Female","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Ministry of Defence (excl. agencies)","90","90","40130","38720"
"In post","2021","Analysis","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","80","70","46360","42980"
"In post","2021","Analysis","Female","Ministry of Justice (excl. agencies)","190","180","45260","40480"
"In post","2021","Analysis","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Office for Standards in Education, Children's Services and Skills","80","80","40340","35010"
"In post","2021","Analysis","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","United Kingdom Statistics Authority","910","850","36230","33020"
"In post","2021","Analysis","Female","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
