"Status","Year","Responsibility_level","Organisation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","30","30","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Bristol, City of","30","30","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","50","40","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Devon CC","110","100","21100","21050"
"In post","2021","AA/AO","Animal and Plant Health Agency","East Cumbria","100","100","21080","21050"
"In post","2021","AA/AO","Animal and Plant Health Agency","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Gwynedd","30","30","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","South West Wales","60","60","21150","21050"
"In post","2021","AA/AO","Animal and Plant Health Agency","Staffordshire CC","30","30","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","West Surrey","180","170","24250","24370"
"In post","2021","AA/AO","Animal and Plant Health Agency","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Worcestershire","40","30","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","York","50","50","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Milton Keynes","30","30","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Tyneside","160","140","20800","20800"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Westminster","130","130","24470","24490"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","York","170","160","20910","20920"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Suffolk","40","40","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Cardiff and Vale of Glamorgan","390","340","21700","22490"
"In post","2021","AA/AO","Companies House","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","Glasgow City","120","100","20270","20650"
"In post","2021","AA/AO","Crown Commercial Service","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Aberdeen City and Aberdeenshire","40","30","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Angus and Dundee City","30","30","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","City of Edinburgh","120","120","21810","22220"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Clackmannanshire and Fife","30","30","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","50","40","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Glasgow City","200","180","21970","22220"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Inverclyde, East Renfrewshire and Renfrewshire","30","30","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","South Lanarkshire","50","40","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Birmingham","110","100","21760","21950"
"In post","2021","AA/AO","Crown Prosecution Service","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Cardiff and Vale of Glamorgan","50","50","21840","21950"
"In post","2021","AA/AO","Crown Prosecution Service","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Devon CC","[c]","[c]","[c]","[c]"
