"Status","Year","Responsibility_level","Organisation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Crown Prosecution Service","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","East Kent","30","30","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Heart of Essex","40","30","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Hertfordshire","40","30","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Leeds","80","70","21700","21950"
"In post","2021","AA/AO","Crown Prosecution Service","Leicester","40","30","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Liverpool","90","80","21840","21950"
"In post","2021","AA/AO","Crown Prosecution Service","Manchester","70","60","21940","21950"
"In post","2021","AA/AO","Crown Prosecution Service","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Mid Lancashire","30","30","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Nottingham","70","70","21320","21950"
"In post","2021","AA/AO","Crown Prosecution Service","Portsmouth","40","40","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Sheffield","40","40","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Tyneside","70","60","21800","21950"
"In post","2021","AA/AO","Crown Prosecution Service","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","Westminster","260","240","22960","23520"
"In post","2021","AA/AO","Crown Prosecution Service","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service","York","30","30","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","York","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Flintshire and Wrexham","80","70","19970","21000"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Wiltshire","100","100","18880","17710"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Westminster","60","50","25670","24900"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Westminster","80","80","24430","24370"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","York","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Westminster","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Derby","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Lewisham and Southwark","80","60","32640","32740"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport (excl. agencies)","Westminster","40","40","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Aberdeen City and Aberdeenshire","60","50","20600","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Angus and Dundee City","590","540","20930","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Barking & Dagenham and Havering","60","50","24610","25110"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Barnet","50","40","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Barnsley, Doncaster and Rotherham","600","500","20790","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Bath and North East Somerset, North Somerset and South Gloucestershire","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Berkshire","80","60","24110","24180"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Bexley and Greenwich","40","40","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Birmingham","540","450","20600","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Blackburn with Darwen","110","90","20880","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Blackpool","1710","1540","20870","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Bournemouth and Poole","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Bradford","350","300","20730","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Brent","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Bridgend and Neath Port Talbot","180","160","20950","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Brighton and Hove","40","40","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Bristol, City of","260","220","20920","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Bromley","40","30","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Calderdale and Kirklees","120","100","20800","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Cardiff and Vale of Glamorgan","230","200","20880","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Central Valleys","180","160","20780","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Cheshire West and Chester","120","110","21010","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","City of Edinburgh","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Clackmannanshire and Fife","130","110","20710","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Cornwall and Isles of Scilly","330","280","20880","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Coventry","140","110","20890","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Croydon","40","40","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Derby","350","290","20810","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Devon CC","640","510","20820","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Dudley","450","370","20790","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Durham CC","430","360","20870","21010"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","Ealing","40","30","[c]","[c]"
"In post","2021","AA/AO","Department for Work and Pensions (excl. agencies)","East Ayrshire and North Ayrshire mainland","170","140","20690","21010"
