"Status","Year","Region_ITL1","Organisation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","EO","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","SEO/HEO","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","SEO/HEO","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Commercial Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","AA/AO","110","110","21360","21950"
"In post","2021","East Midlands (England)","Crown Prosecution Service","EO","90","80","27040","27350"
"In post","2021","East Midlands (England)","Crown Prosecution Service","G6/G7","180","170","53780","54170"
"In post","2021","East Midlands (England)","Crown Prosecution Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","SEO/HEO","60","50","35150","34480"
"In post","2021","East Midlands (England)","Defence Equipment and Support","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Equipment and Support","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Equipment and Support","SEO/HEO","180","180","35210","34840"
