"Status","Year","Responsibility_level","Region_ITL3","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","20-29","110","110","23830","22220"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","30-39","100","100","26150","22920"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","40-49","90","90","26440","22920"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","50-59","160","150","26020","22230"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","60-64","60","50","23630","22120"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","20-29","160","150","21140","21010"
"In post","2021","AA/AO","Angus and Dundee City","30-39","240","220","21200","21010"
"In post","2021","AA/AO","Angus and Dundee City","40-49","260","240","21220","21010"
"In post","2021","AA/AO","Angus and Dundee City","50-59","300","270","21070","21010"
"In post","2021","AA/AO","Angus and Dundee City","60-64","110","100","20990","21010"
"In post","2021","AA/AO","Angus and Dundee City","65+","40","30","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","20-29","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","30-39","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","40-49","30","30","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","50-59","70","70","21220","20310"
"In post","2021","AA/AO","Antrim and Newtownabbey","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","20-29","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","30-39","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","40-49","50","50","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","50-59","80","80","21230","20310"
"In post","2021","AA/AO","Ards and North Down","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","40-49","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","50-59","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","20-29","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","30-39","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","40-49","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","50-59","40","30","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","20-29","80","70","23990","23530"
"In post","2021","AA/AO","Barnet","30-39","40","30","[c]","[c]"
"In post","2021","AA/AO","Barnet","40-49","40","40","[c]","[c]"
"In post","2021","AA/AO","Barnet","50-59","70","60","23730","23670"
"In post","2021","AA/AO","Barnet","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","20-29","300","300","23480","22850"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","30-39","290","260","23440","21550"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","40-49","290","260","22680","21010"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","50-59","430","380","23260","21010"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","60-64","150","110","22710","21010"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","65+","30","20","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","190","180","21710","20920"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","150","140","23460","21130"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","130","120","24100","21430"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","210","200","23960","21430"
