"Status","Year","Disability","Region_ITL3","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","AA/AO","40","40","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","EO","40","40","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","AA/AO","180","160","21140","21010"
"In post","2021","Declared disabled","Angus and Dundee City","EO","60","60","27480","27570"
"In post","2021","Declared disabled","Angus and Dundee City","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","EO","70","60","30750","31060"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","AA/AO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Barnet","EO","50","40","[c]","[c]"
"In post","2021","Declared disabled","Barnet","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","AA/AO","180","160","22010","21010"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","EO","140","120","27470","27570"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Unknown","60","50","31160","30880"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","70","60","22740","21010"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","290","270","24380","25730"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","160","150","57160","55140"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","660","640","36670","37000"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","160","160","38990","36530"
"In post","2021","Declared disabled","Bedford","AA/AO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Bedford","EO","40","30","[c]","[c]"
"In post","2021","Declared disabled","Bedford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","AA/AO","90","80","20810","21400"
"In post","2021","Declared disabled","Belfast","EO","70","60","26290","25560"
"In post","2021","Declared disabled","Belfast","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","SEO/HEO","70","70","33710","31810"
"In post","2021","Declared disabled","Berkshire","AA/AO","100","90","27240","25110"
"In post","2021","Declared disabled","Berkshire","EO","100","90","30390","29290"
"In post","2021","Declared disabled","Berkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","SEO/HEO","70","70","37810","38100"
"In post","2021","Declared disabled","Berkshire","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","AA/AO","70","60","26750","24440"
"In post","2021","Declared disabled","Bexley and Greenwich","EO","70","70","32120","31060"
"In post","2021","Declared disabled","Bexley and Greenwich","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","AA/AO","400","350","20950","20230"
"In post","2021","Declared disabled","Birmingham","EO","410","370","26750","27570"
"In post","2021","Declared disabled","Birmingham","G6/G7","80","80","56350","53350"
"In post","2021","Declared disabled","Birmingham","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","SEO/HEO","300","280","34920","32610"
"In post","2021","Declared disabled","Birmingham","Unknown","80","80","30500","29200"
"In post","2021","Declared disabled","Blackburn with Darwen","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","EO","40","30","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","AA/AO","300","260","20840","21010"
"In post","2021","Declared disabled","Blackpool","EO","270","240","27450","27570"
"In post","2021","Declared disabled","Blackpool","G6/G7","40","40","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","SEO/HEO","140","130","34410","34290"
"In post","2021","Declared disabled","Blackpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","AA/AO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","EO","60","50","27000","27570"
"In post","2021","Declared disabled","Bournemouth and Poole","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","AA/AO","160","120","20540","21010"
"In post","2021","Declared disabled","Bradford","EO","110","90","26880","27570"
"In post","2021","Declared disabled","Bradford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","EO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Brent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","AA/AO","40","30","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","EO","50","40","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","EO","50","40","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","AA/AO","180","170","21170","21010"
"In post","2021","Declared disabled","Bristol, City of","EO","160","140","27100","27570"
"In post","2021","Declared disabled","Bristol, City of","G6/G7","90","90","56220","53150"
"In post","2021","Declared disabled","Bristol, City of","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","SEO/HEO","190","180","35690","35900"
"In post","2021","Declared disabled","Bristol, City of","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Bromley","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bromley","EO","40","40","[c]","[c]"
"In post","2021","Declared disabled","Bromley","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bromley","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bromley","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","AA/AO","70","60","24790","23130"
"In post","2021","Declared disabled","Buckinghamshire CC","EO","60","60","28600","27570"
"In post","2021","Declared disabled","Buckinghamshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","AA/AO","40","30","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","EO","110","100","27370","27570"
"In post","2021","Declared disabled","Calderdale and Kirklees","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","AA/AO","100","90","25090","23240"
"In post","2021","Declared disabled","Cambridgeshire CC","EO","90","90","28020","27570"
"In post","2021","Declared disabled","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","SEO/HEO","120","110","37050","34460"
"In post","2021","Declared disabled","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","AA/AO","100","90","23160","23500"
"In post","2021","Declared disabled","Camden and City of London","EO","80","70","30020","29570"
"In post","2021","Declared disabled","Camden and City of London","G6/G7","40","40","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","SEO/HEO","70","70","38610","37150"
"In post","2021","Declared disabled","Camden and City of London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","AA/AO","340","300","21170","21010"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","EO","310","280","27020","27570"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","G6/G7","110","110","58960","57800"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","SEO/HEO","270","250","35960","34490"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Unknown","40","40","[c]","[c]"
"In post","2021","Declared disabled","Causeway Coast and Glens","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Causeway Coast and Glens","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Hampshire","AA/AO","80","80","22450","20920"
"In post","2021","Declared disabled","Central Hampshire","EO","80","70","26950","26670"
"In post","2021","Declared disabled","Central Hampshire","G6/G7","70","70","51630","48500"
"In post","2021","Declared disabled","Central Hampshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Hampshire","SEO/HEO","200","190","35490","34490"
"In post","2021","Declared disabled","Central Hampshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Valleys","AA/AO","50","50","21130","21010"
"In post","2021","Declared disabled","Central Valleys","EO","80","70","27420","27570"
"In post","2021","Declared disabled","Central Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Valleys","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Valleys","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Central Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","EO","40","40","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire West and Chester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire West and Chester","EO","50","40","[c]","[c]"
"In post","2021","Declared disabled","Cheshire West and Chester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire West and Chester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire West and Chester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chorley and West Lancashire","AA/AO","60","60","25760","25400"
"In post","2021","Declared disabled","Chorley and West Lancashire","EO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Chorley and West Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chorley and West Lancashire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chorley and West Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chorley and West Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","City of Edinburgh","AA/AO","240","230","22410","22230"
