"Status","Year","Sexual_orientation","Responsibility_level","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","AA/AO","16-19","500","480","20960","21010"
"In post","2021","Heterosexual / straight","AA/AO","20-29","15370","14940","22640","21430"
"In post","2021","Heterosexual / straight","AA/AO","30-39","16350","14890","22860","21430"
"In post","2021","Heterosexual / straight","AA/AO","40-49","16740","15040","22600","21100"
"In post","2021","Heterosexual / straight","AA/AO","50-59","24930","22580","22410","21010"
"In post","2021","Heterosexual / straight","AA/AO","60-64","9080","7510","21770","21010"
"In post","2021","Heterosexual / straight","AA/AO","65+","3190","2480","21440","21010"
"In post","2021","Heterosexual / straight","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","16-19","200","200","23450","24300"
"In post","2021","Heterosexual / straight","EO","20-29","14160","14000","27090","27540"
"In post","2021","Heterosexual / straight","EO","30-39","17340","16370","27430","27570"
"In post","2021","Heterosexual / straight","EO","40-49","19000","17700","27720","27570"
"In post","2021","Heterosexual / straight","EO","50-59","25790","23970","28080","27570"
"In post","2021","Heterosexual / straight","EO","60-64","6860","5520","28080","27570"
"In post","2021","Heterosexual / straight","EO","65+","1920","1450","28040","27570"
"In post","2021","Heterosexual / straight","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","G6/G7","20-29","2630","2630","54350","53380"
"In post","2021","Heterosexual / straight","G6/G7","30-39","11050","10720","57080","54960"
"In post","2021","Heterosexual / straight","G6/G7","40-49","13100","12580","59000","57460"
"In post","2021","Heterosexual / straight","G6/G7","50-59","12570","12280","60300","58920"
"In post","2021","Heterosexual / straight","G6/G7","60-64","2100","1850","61680","59960"
"In post","2021","Heterosexual / straight","G6/G7","65+","540","430","63670","61010"
"In post","2021","Heterosexual / straight","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SCS","30-39","710","690","79620","75340"
"In post","2021","Heterosexual / straight","SCS","40-49","1980","1920","87670","80540"
"In post","2021","Heterosexual / straight","SCS","50-59","1820","1790","94750","87040"
"In post","2021","Heterosexual / straight","SCS","60-64","310","290","102790","94500"
"In post","2021","Heterosexual / straight","SCS","65+","50","40","104720","95830"
"In post","2021","Heterosexual / straight","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SEO/HEO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","SEO/HEO","20-29","12940","12870","34560","33570"
"In post","2021","Heterosexual / straight","SEO/HEO","30-39","20790","20120","36270","35720"
"In post","2021","Heterosexual / straight","SEO/HEO","40-49","21400","20560","37410","36800"
