"Status","Year","Profession_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Other Cabinet Office Agencies","370","360","34050","34800"
"In post","2021","Commercial","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Ministry of Defence","920","880","39490","35570"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","70","70","33740","35520"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","Department for Education","190","180","39800","38000"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","140","140","39210","36970"
"In post","2021","Commercial","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Department for Transport","90","90","50180","46920"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","200","200","48750","40650"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","160","140","32760","31040"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Department for Transport","40","40","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","Department for Education","190","180","41270","36960"
"In post","2021","Commercial","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","80","80","47060","41610"
"In post","2021","Commercial","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","80","70","41640","39860"
"In post","2021","Commercial","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Ministry of Justice","680","660","49260","48020"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","70","70","39630","38630"
"In post","2021","Commercial","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","Home Office","90","90","41360","42100"
"In post","2021","Commercial","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","Ministry of Justice","100","90","40800","40080"
"In post","2021","Commercial","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","190","180","42990","40140"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","860","820","36300","34800"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","110","110","35560","34090"
"In post","2021","Commercial","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of the Public Guardian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","Scottish Government","80","80","30640","25870"
"In post","2021","Commercial","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","Ministry of Defence","150","140","40040","38240"
"In post","2021","Commercial","The National Archives","The National Archives","40","40","[c]","[c]"
"In post","2021","Commercial","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Commercial","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","Attorney General's Departments","50","50","41310","39750"
"In post","2021","Communications","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","130","130","48060","45270"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Communications","Department for Education (excl. agencies)","Department for Education","240","230","37810","33510"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","260","250","41570","37790"
"In post","2021","Communications","Department for International Trade","Department for International Trade","140","140","43060","38540"
"In post","2021","Communications","Department for Transport (excl. agencies)","Department for Transport","110","110","47530","43360"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","190","180","43490","38360"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","Department for Transport","70","60","29810","26740"
"In post","2021","Communications","Driver and Vehicle Standards Agency","Department for Transport","90","80","31290","30730"
"In post","2021","Communications","Education and Skills Funding Agency","Department for Education","90","90","43280","40300"
"In post","2021","Communications","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","140","130","48880","45840"
"In post","2021","Communications","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Health and Safety Executive","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Communications","HM Courts and Tribunals Service","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Communications","HM Land Registry","HM Land Registry","30","30","[c]","[c]"
"In post","2021","Communications","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","230","220","44420","39200"
"In post","2021","Communications","HM Treasury (excl. agencies)","HM Treasury","40","40","[c]","[c]"
"In post","2021","Communications","Home Office (incl. agencies)","Home Office","180","170","48630","43880"
"In post","2021","Communications","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","60","60","41910","36690"
"In post","2021","Communications","Met Office","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","540","520","34600","33300"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","100","100","41310","36340"
"In post","2021","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","110","100","45040","43410"
"In post","2021","Communications","National Crime Agency","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Communications","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","40","30","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","40","30","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of the Public Guardian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Public Health England","Department of Health and Social Care","80","70","47540","42630"
"In post","2021","Communications","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","United Kingdom Statistics Authority","90","80","37320","36030"
"In post","2021","Communications","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government (excl. agencies)","Welsh Government","160","150","39140","37410"
"In post","2021","Communications","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Defence Science and Technology Laboratory","Ministry of Defence","50","50","39680","37760"
"In post","2021","Corporate Finance","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Public Health England","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Standards Agency","Department for Transport","50","50","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","Food Standards Agency","60","60","39060","37910"
"In post","2021","Counter Fraud","Government Internal Audit Agency","HM Treasury","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Home Office (incl. agencies)","Home Office","180","160","26930","25310"
"In post","2021","Counter Fraud","Insolvency Service","Department for Business, Energy and Industrial Strategy","260","250","39230","39170"
"In post","2021","Counter Fraud","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Serious Fraud Office","Attorney General's Departments","280","270","45240","40080"
"In post","2021","Digital, Data and Technology","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","60","60","45550","43750"
"In post","2021","Digital, Data and Technology","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Charity Commission","Charity Commission","50","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Companies House","Department for Business, Energy and Industrial Strategy","260","250","38840","38000"
"In post","2021","Digital, Data and Technology","Competition and Markets Authority","Competition and Markets Authority","70","60","56530","54550"
"In post","2021","Digital, Data and Technology","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Crown Commercial Service","Other Cabinet Office Agencies","120","110","41230","35760"
"In post","2021","Digital, Data and Technology","Crown Office and Procurator Fiscal Service","Scottish Government","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","Crown Prosecution Service","Attorney General's Departments","120","120","39820","38180"
"In post","2021","Digital, Data and Technology","Debt Management Office","HM Treasury","40","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Defence Equipment and Support","Ministry of Defence","370","360","41030","40640"
"In post","2021","Digital, Data and Technology","Defence Science and Technology Laboratory","Ministry of Defence","120","120","45900","46080"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","120","120","45390","40050"
"In post","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Education (excl. agencies)","Department for Education","580","560","40690","37100"
"In post","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","670","650","43890","47550"
"In post","2021","Digital, Data and Technology","Department for International Trade","Department for International Trade","120","120","47030","44020"
"In post","2021","Digital, Data and Technology","Department for Transport (excl. agencies)","Department for Transport","120","120","42370","40280"
"In post","2021","Digital, Data and Technology","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","170","170","43630","36820"
"In post","2021","Digital, Data and Technology","Driver and Vehicle Licensing Agency","Department for Transport","730","720","39810","38230"
"In post","2021","Digital, Data and Technology","Driver and Vehicle Standards Agency","Department for Transport","190","190","36190","32180"
"In post","2021","Digital, Data and Technology","Education and Skills Funding Agency","Department for Education","300","290","37910","36500"
"In post","2021","Digital, Data and Technology","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","FCDO Services","Foreign, Commonwealth and Development Office","120","120","44710","40670"
"In post","2021","Digital, Data and Technology","Food Standards Agency","Food Standards Agency","60","60","44630","40350"
"In post","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","200","190","40910","39190"
"In post","2021","Digital, Data and Technology","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Health and Safety Executive","Department for Work and Pensions","60","60","39240","33460"
"In post","2021","Digital, Data and Technology","HM Courts and Tribunals Service","Ministry of Justice","140","140","35510","30990"
"In post","2021","Digital, Data and Technology","HM Land Registry","HM Land Registry","670","640","38030","38450"
"In post","2021","Digital, Data and Technology","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","1930","1850","39680","38630"
"In post","2021","Digital, Data and Technology","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Home Office (incl. agencies)","Home Office","1220","1200","50060","45550"
"In post","2021","Digital, Data and Technology","Insolvency Service","Department for Business, Energy and Industrial Strategy","50","50","42440","41060"
"In post","2021","Digital, Data and Technology","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Maritime and Coastguard Agency","Department for Transport","110","100","38370","34040"
"In post","2021","Digital, Data and Technology","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","70","70","46880","41040"
"In post","2021","Digital, Data and Technology","Met Office","Department for Business, Energy and Industrial Strategy","350","340","37300","34170"
"In post","2021","Digital, Data and Technology","Ministry of Defence (excl. agencies)","Ministry of Defence","700","680","32410","29670"
"In post","2021","Digital, Data and Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","70","70","50630","53130"
"In post","2021","Digital, Data and Technology","Ministry of Justice (excl. agencies)","Ministry of Justice","870","860","48150","46550"
"In post","2021","Digital, Data and Technology","National Crime Agency","National Crime Agency","260","250","41070","37750"
"In post","2021","Digital, Data and Technology","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","80","80","45050","39850"
"In post","2021","Digital, Data and Technology","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","100","100","51190","46140"
"In post","2021","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office of the Public Guardian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Planning Inspectorate","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Public Health England","Department of Health and Social Care","140","130","44310","41500"
"In post","2021","Digital, Data and Technology","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Registers of Scotland","Scottish Government","70","60","42130","36780"
"In post","2021","Digital, Data and Technology","Scottish Courts and Tribunals Service","Scottish Government","60","60","34360","29350"
"In post","2021","Digital, Data and Technology","Scottish Prison Service","Scottish Government","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Serious Fraud Office","Attorney General's Departments","50","50","41680","39270"
"In post","2021","Digital, Data and Technology","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","The National Archives","The National Archives","100","100","40050","39000"
"In post","2021","Digital, Data and Technology","UK Export Finance","UK Export Finance","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","UK Hydrographic Office","Ministry of Defence","190","190","38770","35340"
"In post","2021","Digital, Data and Technology","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","190","190","44760","42860"
"In post","2021","Digital, Data and Technology","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","United Kingdom Statistics Authority","United Kingdom Statistics Authority","600","590","40840","36840"
"In post","2021","Digital, Data and Technology","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Welsh Government (excl. agencies)","Welsh Government","210","210","37690","37410"
"In post","2021","Digital, Data and Technology","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Competition and Markets Authority","Competition and Markets Authority","90","90","62530","59510"
"In post","2021","Economics","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","300","290","46610","39570"
"In post","2021","Economics","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","80","70","53810","59730"
"In post","2021","Economics","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","160","160","44720","47550"
"In post","2021","Economics","Department for International Trade","Department for International Trade","150","150","43500","33220"
"In post","2021","Economics","Department for Transport (excl. agencies)","Department for Transport","170","170","47750","54110"
"In post","2021","Economics","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","90","90","43100","36820"
"In post","2021","Economics","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","180","170","50950","54320"
"In post","2021","Economics","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Economics","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","120","120","48270","37190"
"In post","2021","Economics","HM Treasury (excl. agencies)","HM Treasury","170","160","42720","34320"
"In post","2021","Economics","Home Office (incl. agencies)","Home Office","110","110","46610","35070"
"In post","2021","Economics","Ministry of Defence (excl. agencies)","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Economics","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","80","80","44560","35060"
"In post","2021","Economics","Ministry of Justice (excl. agencies)","Ministry of Justice","50","40","[c]","[c]"
"In post","2021","Economics","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
