"Status","Year","Region_ITL3","Sex","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Female","North Eastern Scotland","930","840","32400","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Male","North Eastern Scotland","940","910","39900","33650"
"In post","2021","Angus and Dundee City","Female","Eastern Scotland","1160","1040","26520","22230"
"In post","2021","Angus and Dundee City","Male","Eastern Scotland","740","710","25790","21150"
"In post","2021","Antrim and Newtownabbey","Female","Northern Ireland","60","60","26650","21670"
"In post","2021","Antrim and Newtownabbey","Male","Northern Ireland","140","140","23700","20310"
"In post","2021","Ards and North Down","Female","Northern Ireland","60","50","28760","22330"
"In post","2021","Ards and North Down","Male","Northern Ireland","170","170","24940","20310"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Outer London - East and North East","390","340","30120","31060"
"In post","2021","Barking & Dagenham and Havering","Male","Outer London - East and North East","210","200","31100","31060"
"In post","2021","Barnet","Female","Outer London - West and North West","1060","980","38310","32330"
"In post","2021","Barnet","Male","Outer London - West and North West","620","600","42610","38520"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","South Yorkshire","1840","1570","26140","26120"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","South Yorkshire","1150","1100","28800","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Gloucestershire, Wiltshire and Bath/Bristol area","5370","4980","34700","32660"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Gloucestershire, Wiltshire and Bath/Bristol area","7990","7850","39800","37990"
"In post","2021","Bedford","Female","Bedfordshire and Hertfordshire","460","420","28930","27570"
"In post","2021","Bedford","Male","Bedfordshire and Hertfordshire","370","360","31830","30060"
"In post","2021","Belfast","Female","Northern Ireland","1440","1290","28780","25560"
"In post","2021","Belfast","Male","Northern Ireland","1380","1330","29010","25560"
"In post","2021","Berkshire","Female","Berkshire, Buckinghamshire and Oxfordshire","1370","1260","32720","29290"
"In post","2021","Berkshire","Male","Berkshire, Buckinghamshire and Oxfordshire","1590","1560","35820","33170"
"In post","2021","Bexley and Greenwich","Female","Outer London - East and North East","920","860","30500","31060"
"In post","2021","Bexley and Greenwich","Male","Outer London - East and North East","840","820","33250","33180"
"In post","2021","Birmingham","Female","West Midlands","6600","5950","30240","27570"
"In post","2021","Birmingham","Male","West Midlands","5000","4850","32400","27570"
"In post","2021","Blackburn with Darwen","Female","Lancashire","300","250","26530","27570"
"In post","2021","Blackburn with Darwen","Male","Lancashire","200","190","27180","27570"
"In post","2021","Blackpool","Female","Lancashire","3220","2840","28370","27570"
"In post","2021","Blackpool","Male","Lancashire","1930","1860","30190","27570"
"In post","2021","Bournemouth and Poole","Female","Dorset and Somerset","420","360","27030","27570"
"In post","2021","Bournemouth and Poole","Male","Dorset and Somerset","300","290","26620","27290"
"In post","2021","Bradford","Female","West Yorkshire","1860","1570","26880","25560"
"In post","2021","Bradford","Male","West Yorkshire","1240","1180","27660","25560"
"In post","2021","Breckland and South Norfolk","Female","East Anglia","220","200","27910","26300"
"In post","2021","Breckland and South Norfolk","Male","East Anglia","310","300","29020","26810"
"In post","2021","Brent","Female","Outer London - West and North West","400","360","30470","31050"
"In post","2021","Brent","Male","Outer London - West and North West","210","200","33300","31060"
"In post","2021","Bridgend and Neath Port Talbot","Female","West Wales and The Valleys","500","430","26480","27570"
"In post","2021","Bridgend and Neath Port Talbot","Male","West Wales and The Valleys","210","200","28560","27570"
"In post","2021","Brighton and Hove","Female","Surrey, East and West Sussex","420","370","30640","27570"
"In post","2021","Brighton and Hove","Male","Surrey, East and West Sussex","230","220","30520","27570"
"In post","2021","Bristol, City of","Female","Gloucestershire, Wiltshire and Bath/Bristol area","3520","3170","34380","29870"
"In post","2021","Bristol, City of","Male","Gloucestershire, Wiltshire and Bath/Bristol area","3090","2960","37550","31860"
"In post","2021","Bromley","Female","Outer London - South","330","300","29460","31060"
"In post","2021","Bromley","Male","Outer London - South","130","120","29250","31060"
"In post","2021","Buckinghamshire CC","Female","Berkshire, Buckinghamshire and Oxfordshire","980","920","31030","28670"
"In post","2021","Buckinghamshire CC","Male","Berkshire, Buckinghamshire and Oxfordshire","700","680","33710","31810"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Female","Highlands and Islands","110","100","27650","27570"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Male","Highlands and Islands","100","100","31100","29190"
"In post","2021","Calderdale and Kirklees","Female","West Yorkshire","700","590","26790","27570"
"In post","2021","Calderdale and Kirklees","Male","West Yorkshire","360","350","27480","27570"
"In post","2021","Cambridgeshire CC","Female","East Anglia","1620","1500","32990","29180"
"In post","2021","Cambridgeshire CC","Male","East Anglia","1760","1700","34900","31650"
"In post","2021","Camden and City of London","Female","Inner London - West","1780","1670","35800","30920"
"In post","2021","Camden and City of London","Male","Inner London - West","1860","1820","40630","36160"
"In post","2021","Cardiff and Vale of Glamorgan","Female","East Wales","6510","5880","32300","27570"
"In post","2021","Cardiff and Vale of Glamorgan","Male","East Wales","5560","5380","33710","28850"
"In post","2021","Causeway Coast and Glens","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Male","Northern Ireland","60","60","20740","20310"
"In post","2021","Central Bedfordshire","Female","Bedfordshire and Hertfordshire","190","170","28630","26670"
"In post","2021","Central Bedfordshire","Male","Bedfordshire and Hertfordshire","250","240","31440","29750"
"In post","2021","Central Hampshire","Female","Hampshire and Isle of Wight","1870","1760","33500","33000"
"In post","2021","Central Hampshire","Male","Hampshire and Isle of Wight","2320","2270","38340","37320"
"In post","2021","Central Valleys","Female","West Wales and The Valleys","1130","1030","32770","28850"
"In post","2021","Central Valleys","Male","West Wales and The Valleys","580","560","38080","31700"
"In post","2021","Cheshire East","Female","Cheshire","470","430","29740","27570"
"In post","2021","Cheshire East","Male","Cheshire","290","270","30540","27570"
"In post","2021","Cheshire West and Chester","Female","Cheshire","290","260","26370","27570"
"In post","2021","Cheshire West and Chester","Male","Cheshire","170","160","25600","23840"
"In post","2021","Chorley and West Lancashire","Female","Lancashire","630","580","28710","27380"
