"Status","Year","Ethnicity","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Armagh City, Banbridge and Craigavon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Armagh City, Banbridge and Craigavon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","Heterosexual / straight","110","100","30560","31060"
"In post","2021","Asian","Barking & Dagenham and Havering","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnet","Heterosexual / straight","310","290","36260","31880"
"In post","2021","Asian","Barnet","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnet","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnet","Unknown","60","60","47130","37380"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","320","310","35480","33200"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedford","Heterosexual / straight","70","60","27640","27570"
"In post","2021","Asian","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedford","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Belfast","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Belfast","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Belfast","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire","Heterosexual / straight","240","220","30510","29290"
"In post","2021","Asian","Berkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire","Unknown","40","30","[c]","[c]"
"In post","2021","Asian","Bexley and Greenwich","Heterosexual / straight","90","80","30910","31060"
"In post","2021","Asian","Bexley and Greenwich","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bexley and Greenwich","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Birmingham","Heterosexual / straight","1930","1810","27110","25560"
"In post","2021","Asian","Birmingham","LGBO","40","40","[c]","[c]"
"In post","2021","Asian","Birmingham","Undeclared","120","110","25170","23860"
"In post","2021","Asian","Birmingham","Unknown","340","300","27450","25560"
"In post","2021","Asian","Blackburn with Darwen","Heterosexual / straight","100","90","25950","27570"
"In post","2021","Asian","Blackburn with Darwen","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Blackburn with Darwen","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Blackpool","Heterosexual / straight","70","70","29760","27570"
"In post","2021","Asian","Blackpool","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Blackpool","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Blackpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bournemouth and Poole","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bournemouth and Poole","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bournemouth and Poole","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bradford","Heterosexual / straight","470","430","25750","25560"
"In post","2021","Asian","Bradford","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bradford","Undeclared","30","30","[c]","[c]"
"In post","2021","Asian","Bradford","Unknown","160","140","24050","21440"
"In post","2021","Asian","Breckland and South Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
