"Status","Year","Parent_department","Sexual_orientation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Berkshire","90","90","42390","38120"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Birmingham","340","320","38910","38000"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Brighton and Hove","70","70","44500","40000"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Bristol, City of","100","90","39580","33310"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Cardiff and Vale of Glamorgan","160","150","41350","40420"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Croydon","60","50","40180","34460"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Devon CC","80","80","39080","34480"
"In post","2021","Attorney General's Departments","Heterosexual / straight","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","East Kent","80","80","37650","30110"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Flintshire and Wrexham","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Heart of Essex","140","130","40910","35630"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Hertfordshire","130","120","41700","40000"
