"Status","Year","Ethnicity","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Education","50","40","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Defence","50","50","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Justice","50","50","39700","36260"
"In post","2021","Asian","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
