"Status","Year","Responsibility_level","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Counter Fraud","70","60","22420","21440"
"In post","2021","AA/AO","Asian","Debt","280","240","22270","20430"
"In post","2021","AA/AO","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Finance","100","90","21490","20140"
"In post","2021","AA/AO","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Human Resources","60","50","21730","20920"
"In post","2021","AA/AO","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Legal","180","170","22760","23520"
"In post","2021","AA/AO","Asian","No function","3330","2990","22010","20520"
"In post","2021","AA/AO","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Property","60","50","22770","21250"
"In post","2021","AA/AO","Asian","Security","110","110","24610","21150"
"In post","2021","AA/AO","Asian","Unknown","3700","3180","22330","21430"
"In post","2021","AA/AO","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Counter Fraud","40","30","[c]","[c]"
"In post","2021","AA/AO","Black","Debt","110","100","22900","24120"
"In post","2021","AA/AO","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Finance","30","30","[c]","[c]"
"In post","2021","AA/AO","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Legal","120","110","23260","23520"
"In post","2021","AA/AO","Black","No function","2190","2070","25000","23500"
"In post","2021","AA/AO","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Security","60","60","23710","22650"
"In post","2021","AA/AO","Black","Unknown","1420","1290","23120","23130"
"In post","2021","AA/AO","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Debt","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","No function","120","110","22570","21160"
"In post","2021","AA/AO","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chinese","Unknown","110","100","21560","21010"
"In post","2021","AA/AO","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Debt","30","30","[c]","[c]"
"In post","2021","AA/AO","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Legal","40","30","[c]","[c]"
"In post","2021","AA/AO","Mixed","No function","970","910","23950","22490"
"In post","2021","AA/AO","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Mixed","Security","40","40","[c]","[c]"
"In post","2021","AA/AO","Mixed","Unknown","740","670","21970","21010"
"In post","2021","AA/AO","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","No function","280","260","24400","22680"
"In post","2021","AA/AO","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other ethnicity","Unknown","210","180","22080","21010"
"In post","2021","AA/AO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Counter Fraud","50","40","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Debt","100","90","21930","21440"
"In post","2021","AA/AO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Finance","60","50","21340","21440"
"In post","2021","AA/AO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Human Resources","60","50","21120","21130"
"In post","2021","AA/AO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Legal","30","30","[c]","[c]"
"In post","2021","AA/AO","Undeclared","No function","2000","1820","23120","21590"
"In post","2021","AA/AO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Property","80","80","21650","21100"
"In post","2021","AA/AO","Undeclared","Security","250","240","29710","26750"
"In post","2021","AA/AO","Undeclared","Unknown","2260","1970","21470","21010"
"In post","2021","AA/AO","Unknown","Analysis","40","40","[c]","[c]"
"In post","2021","AA/AO","Unknown","Commercial","80","70","21800","20920"
"In post","2021","AA/AO","Unknown","Communications","90","80","21600","21050"
"In post","2021","AA/AO","Unknown","Counter Fraud","160","140","21130","20140"
"In post","2021","AA/AO","Unknown","Debt","1340","1250","20570","20140"
"In post","2021","AA/AO","Unknown","Digital, Data & Technology","100","90","21570","21590"
"In post","2021","AA/AO","Unknown","Finance","310","260","20710","20140"
"In post","2021","AA/AO","Unknown","Grants Management","420","400","20990","21050"
"In post","2021","AA/AO","Unknown","Human Resources","180","160","21150","20920"
"In post","2021","AA/AO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Legal","1070","950","21740","22820"
"In post","2021","AA/AO","Unknown","No function","14630","13570","22400","20940"
"In post","2021","AA/AO","Unknown","Project Delivery","90","80","21520","21440"
"In post","2021","AA/AO","Unknown","Property","590","550","21690","21100"
"In post","2021","AA/AO","Unknown","Security","840","830","27020","25390"
"In post","2021","AA/AO","Unknown","Unknown","3740","3390","21460","21010"
"In post","2021","AA/AO","White","Analysis","130","120","21310","21050"
"In post","2021","AA/AO","White","Commercial","370","340","21960","21130"
"In post","2021","AA/AO","White","Communications","360","320","21290","21130"
"In post","2021","AA/AO","White","Counter Fraud","520","450","21220","21440"
"In post","2021","AA/AO","White","Debt","1530","1340","20800","20140"
"In post","2021","AA/AO","White","Digital, Data & Technology","290","280","21850","21440"
"In post","2021","AA/AO","White","Finance","980","820","21100","21180"
"In post","2021","AA/AO","White","Grants Management","470","400","21020","21050"
"In post","2021","AA/AO","White","Human Resources","1260","1140","21310","21130"
"In post","2021","AA/AO","White","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","White","Legal","1120","1030","22140","21950"
"In post","2021","AA/AO","White","No function","46990","42060","23280","21590"
"In post","2021","AA/AO","White","Project Delivery","440","410","21380","21280"
"In post","2021","AA/AO","White","Property","1580","1480","21390","21050"
"In post","2021","AA/AO","White","Security","4190","4080","26560","21150"
"In post","2021","AA/AO","White","Unknown","36870","32540","21220","21010"
"In post","2021","EO","Asian","Analysis","50","50","27690","27680"
"In post","2021","EO","Asian","Commercial","50","50","28100","28080"
"In post","2021","EO","Asian","Communications","250","240","25250","25560"
"In post","2021","EO","Asian","Counter Fraud","250","240","27770","27700"
"In post","2021","EO","Asian","Debt","60","60","28050","26470"
"In post","2021","EO","Asian","Digital, Data & Technology","160","160","27780","27130"
"In post","2021","EO","Asian","Finance","150","140","27150","26490"
"In post","2021","EO","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","Human Resources","110","110","27280","27380"
"In post","2021","EO","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Asian","Legal","200","190","27670","27580"
"In post","2021","EO","Asian","No function","1660","1570","27400","26880"
"In post","2021","EO","Asian","Project Delivery","180","180","26300","26550"
"In post","2021","EO","Asian","Property","100","100","27980","27500"
"In post","2021","EO","Asian","Security","30","30","[c]","[c]"
"In post","2021","EO","Asian","Unknown","6550","6050","28730","28650"
"In post","2021","EO","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Communications","100","100","25860","25560"
"In post","2021","EO","Black","Counter Fraud","110","110","28870","29570"
"In post","2021","EO","Black","Debt","30","30","[c]","[c]"
"In post","2021","EO","Black","Digital, Data & Technology","80","80","28250","28170"
"In post","2021","EO","Black","Finance","60","60","28420","28670"
"In post","2021","EO","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Human Resources","80","80","28050","27710"
"In post","2021","EO","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Legal","140","140","28390","27760"
"In post","2021","EO","Black","No function","1020","990","28770","28170"
"In post","2021","EO","Black","Project Delivery","120","110","26580","26790"
"In post","2021","EO","Black","Property","40","40","[c]","[c]"
"In post","2021","EO","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","Black","Unknown","3560","3380","29580","29500"
"In post","2021","EO","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Debt","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","No function","80","80","27390","26780"
"In post","2021","EO","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","Chinese","Unknown","140","130","28290","27570"
"In post","2021","EO","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Communications","50","50","[c]","[c]"
"In post","2021","EO","Mixed","Counter Fraud","50","50","26980","25560"
"In post","2021","EO","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","EO","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Legal","50","50","28800","27570"
"In post","2021","EO","Mixed","No function","520","490","28130","27130"
"In post","2021","EO","Mixed","Project Delivery","70","60","25410","26350"
"In post","2021","EO","Mixed","Property","[c]","[c]","[c]","[c]"
