"Status","Year","Region_ITL3","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Animal and Plant Health Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Animal and Plant Health Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Crown Office and Procurator Fiscal Service","Female","80","70","32540","29040"
"In post","2021","Aberdeen City and Aberdeenshire","Crown Office and Procurator Fiscal Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","60","50","45750","36740"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions (excl. agencies)","Female","170","140","26450","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions (excl. agencies)","Male","90","90","26590","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Education Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Education Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Food Standards Scotland","Female","90","90","36140","33620"
"In post","2021","Aberdeen City and Aberdeenshire","Food Standards Scotland","Male","90","80","38760","35110"
"In post","2021","Aberdeen City and Aberdeenshire","Forestry and Land Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Forestry and Land Scotland","Male","50","50","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Government Legal Department","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Health and Safety Executive","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Health and Safety Executive","Male","80","80","85810","92150"
"In post","2021","Aberdeen City and Aberdeenshire","HM Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office (incl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office (incl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Maritime and Coastguard Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Maritime and Coastguard Agency","Male","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Met Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Met Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence (excl. agencies)","Male","90","90","40200","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Courts and Tribunals Service","Female","60","50","23940","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Forestry","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Forestry","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government (excl. agencies)","Female","200","180","33900","30650"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government (excl. agencies)","Male","170","160","39450","35110"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Prison Service","Female","130","120","28940","25980"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Prison Service","Male","180","170","31070","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Social Security Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Social Security Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Valuation Office Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Valuation Office Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Crown Office and Procurator Fiscal Service","Female","70","60","33900","30380"
"In post","2021","Angus and Dundee City","Crown Office and Procurator Fiscal Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Work and Pensions (excl. agencies)","Female","630","550","24100","21010"
"In post","2021","Angus and Dundee City","Department for Work and Pensions (excl. agencies)","Male","340","320","23380","21010"
"In post","2021","Angus and Dundee City","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Education Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Education Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Food Standards Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Food Standards Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Revenue and Customs (excl. agencies)","Female","150","130","23880","21440"
"In post","2021","Angus and Dundee City","HM Revenue and Customs (excl. agencies)","Male","150","150","23340","20140"
"In post","2021","Angus and Dundee City","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence (excl. agencies)","Male","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Office of the Scottish Charity Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Office of the Scottish Charity Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Courts and Tribunals Service","Female","60","50","25150","22820"
"In post","2021","Angus and Dundee City","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Government (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Government (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Social Security Scotland","Female","170","160","28330","26160"
"In post","2021","Angus and Dundee City","Social Security Scotland","Male","130","130","28400","23340"
"In post","2021","Antrim and Newtownabbey","Home Office (incl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Home Office (incl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Met Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Met Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence (excl. agencies)","Female","60","50","26200","21670"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence (excl. agencies)","Male","130","120","22300","20310"
"In post","2021","Ards and North Down","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Maritime and Coastguard Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Maritime and Coastguard Agency","Male","30","30","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence (excl. agencies)","Female","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence (excl. agencies)","Male","140","140","21910","20310"
