"Status","Year","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Female","80","70","30250","29190"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Male","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","620","570","32080","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","440","420","34540","31040"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","1610","1490","29560","25730"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","1070","1040","32290","29180"
"In post","2021","Attorney General's Office","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Female","5040","4890","44370","35590"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Male","4420","4380","49300","40600"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","290","260","31560","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","330","320","36330","30660"
"In post","2021","Charity Commission","Charity Commission","Female","250","230","34360","29160"
"In post","2021","Charity Commission","Charity Commission","Male","190","180","35510","29550"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Female","610","530","29120","24500"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Male","490","490","32800","30660"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Female","430","410","58550","55860"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Male","410","400","62650","59140"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Female","160","140","26500","22570"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Male","140","140","25680","22860"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Female","410","390","36580","34800"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Male","380","380","39050","34800"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Female","1460","1330","34880","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Male","560","550","37880","32930"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Female","4480","4060","39710","33310"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Male","2260","2210","44650","48080"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Female","40","40","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Male","80","70","63150","58810"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Female","70","70","28060","25200"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Male","370","350","28480","28750"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Female","3650","3410","34100","31950"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Male","7050","6920","37570","35610"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Female","1540","1440","37730","37320"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Male","2840","2780","41880","41200"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","2600","2510","47560","44370"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","2720","2700","50170","53380"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","960","930","48180","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","820","810","50260","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Female","3370","3180","43730","40230"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Male","2330","2310","45310","40940"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","2960","2790","41630","37240"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","2450","2420","43480","38750"
"In post","2021","Department for International Trade","Department for International Trade","Female","1270","1250","44620","38690"
"In post","2021","Department for International Trade","Department for International Trade","Male","1420","1420","46910","41180"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Female","1540","1480","45810","42890"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Male","1980","1940","49280","44030"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","59540","51290","27230","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","31410","30130","28440","27570"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","2100","2030","45460","40650"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","1420","1410","48550","45550"
"In post","2021","Disclosure Scotland","Scottish Government","Female","160","140","28010","24110"
"In post","2021","Disclosure Scotland","Scottish Government","Male","160","150","28210","22230"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","Female","3770","3110","24230","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","Male","2460","2380","28950","21590"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","Female","1430","1310","29020","26780"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","Male","3360","3210","29930","27680"
"In post","2021","Education and Skills Funding Agency","Department for Education","Female","1020","960","41100","36960"
"In post","2021","Education and Skills Funding Agency","Department for Education","Male","800","790","42880","37100"
"In post","2021","Education Scotland","Scottish Government","Female","230","220","54330","56120"
"In post","2021","Education Scotland","Scottish Government","Male","80","80","60070","66290"
"In post","2021","ESTYN","ESTYN","Female","70","60","53760","63880"
"In post","2021","ESTYN","ESTYN","Male","50","50","[c]","[c]"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","Female","310","290","38480","31800"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","Male","770","750","41120","39410"
"In post","2021","Food Standards Agency","Food Standards Agency","Female","530","510","39290","37910"
"In post","2021","Food Standards Agency","Food Standards Agency","Male","780","760","35880","30810"
"In post","2021","Food Standards Scotland","Scottish Government","Female","110","110","35010","32140"
"In post","2021","Food Standards Scotland","Scottish Government","Male","140","140","35170","30650"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","3850","3740","46990","41810"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","3620","3600","50260","49920"
"In post","2021","Forestry and Land Scotland","Scottish Government","Female","330","310","31430","29140"
"In post","2021","Forestry and Land Scotland","Scottish Government","Male","660","650","31520","30160"
"In post","2021","Government Actuary's Department","Chancellor's other departments","Female","80","70","60570","62730"
"In post","2021","Government Actuary's Department","Chancellor's other departments","Male","130","120","68570","57250"
"In post","2021","Government Internal Audit Agency","HM Treasury","Female","240","220","46000","43160"
"In post","2021","Government Internal Audit Agency","HM Treasury","Male","220","220","51410","49750"
"In post","2021","Government Legal Department","Attorney General's Departments","Female","1640","1480","54340","52040"
"In post","2021","Government Legal Department","Attorney General's Departments","Male","890","870","54980","52730"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","Female","90","90","45580","42050"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","Male","120","120","51910","49700"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","Female","1300","1180","38460","35910"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","Male","1280","1240","48180","45870"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","Female","11740","10320","24390","21170"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","Male","4870","4690","25550","21300"
"In post","2021","HM Land Registry","HM Land Registry","Female","3810","3360","30140","27130"
"In post","2021","HM Land Registry","HM Land Registry","Male","2540","2410","32510","27130"
"In post","2021","HM Prison and Probation Service","Ministry of Justice","Female","26970","25060","29450","27370"
"In post","2021","HM Prison and Probation Service","Ministry of Justice","Male","27070","25970","30990","30720"
"In post","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","33230","29280","30100","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","29720","28540","32380","29570"
"In post","2021","HM Treasury (excl. agencies)","HM Treasury","Female","990","950","45840","41270"
"In post","2021","HM Treasury (excl. agencies)","HM Treasury","Male","1030","1030","48580","52500"
"In post","2021","Home Office (incl. agencies)","Home Office","Female","18320","16540","31370","27370"
"In post","2021","Home Office (incl. agencies)","Home Office","Male","17060","16340","32630","28060"
"In post","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","1030","960","31260","26410"
"In post","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","780","770","34540","32060"
"In post","2021","Institute for Apprenticeships and Technical Education","Department for Education","Female","130","130","47190","49960"
"In post","2021","Institute for Apprenticeships and Technical Education","Department for Education","Male","80","80","52500","50630"
"In post","2021","Legal Aid Agency","Ministry of Justice","Female","710","650","27190","22570"
"In post","2021","Legal Aid Agency","Ministry of Justice","Male","480","470","30350","22970"
"In post","2021","Maritime and Coastguard Agency","Department for Transport","Female","480","440","32430","30730"
"In post","2021","Maritime and Coastguard Agency","Department for Transport","Male","760","740","39980","36180"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","790","760","46740","41010"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","540","530","50140","44230"
"In post","2021","Met Office","Department for Business, Energy and Industrial Strategy","Female","790","730","38220","38200"
"In post","2021","Met Office","Department for Business, Energy and Industrial Strategy","Male","1310","1270","41220","39750"
"In post","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","16540","15630","31090","26670"
"In post","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","21160","20810","33090","30750"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Female","1290","1240","45380","40190"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Male","1210","1200","46630","42870"
"In post","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","3060","2940","40570","36800"
"In post","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","2290","2260","43860","39870"
"In post","2021","National Crime Agency","National Crime Agency","Female","2450","2340","37450","36410"
"In post","2021","National Crime Agency","National Crime Agency","Male","3040","3010","42180","40170"
"In post","2021","National Infrastructure Commission","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","National Records of Scotland","Scottish Government","Female","240","220","34740","32140"
"In post","2021","National Records of Scotland","Scottish Government","Male","200","190","34260","31150"
"In post","2021","National Savings and Investments","Chancellor's other departments","Female","100","100","47700","43760"
"In post","2021","National Savings and Investments","Chancellor's other departments","Male","100","100","55380","48960"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Female","90","90","42530","36800"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Male","70","70","45720","38870"
"In post","2021","Office for Budget Responsibility","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Female","1190","1130","48570","51360"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Male","590","590","50840","42850"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","540","520","43060","37300"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","640","640","46290","39550"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","150","150","43160","39250"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","110","100","48970","46660"
"In post","2021","Office of Rail and Road","Office of Rail and Road","Female","140","130","49310","49580"
"In post","2021","Office of Rail and Road","Office of Rail and Road","Male","190","190","57610","58450"
"In post","2021","Office of the Public Guardian","Ministry of Justice","Female","800","720","22070","19930"
"In post","2021","Office of the Public Guardian","Ministry of Justice","Male","620","590","22080","19930"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","Female","30","30","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Female","380","340","40110","34860"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Male","470","440","46130","47660"
"In post","2021","Public Health England","Department of Health and Social Care","Female","4790","4310","41900","36690"
"In post","2021","Public Health England","Department of Health and Social Care","Male","2110","2010","48440","41170"
"In post","2021","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Registers of Scotland","Scottish Government","Female","580","540","32830","30080"
"In post","2021","Registers of Scotland","Scottish Government","Male","580","570","32930","30080"
"In post","2021","Revenue Scotland","Scottish Government","Female","30","30","[c]","[c]"
"In post","2021","Revenue Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Ministry of Defence","Female","160","160","33120","32700"
"In post","2021","Royal Fleet Auxiliary","Ministry of Defence","Male","1670","1670","38060","34460"
"In post","2021","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Female","1240","1080","26110","24920"
"In post","2021","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Male","940","910","27230","24920"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Female","70","70","48330","48930"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Male","40","40","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Scottish Government","Female","1210","1070","27580","22820"
"In post","2021","Scottish Courts and Tribunals Service","Scottish Government","Male","590","560","28630","22820"
"In post","2021","Scottish Fiscal Commission","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Scottish Government","Female","100","90","30690","29650"
"In post","2021","Scottish Forestry","Scottish Government","Male","100","90","39880","37530"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","Female","4300","4040","42560","38540"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","Male","3520","3450","43750","39110"
"In post","2021","Scottish Housing Regulator","Scottish Government","Female","30","30","[c]","[c]"
"In post","2021","Scottish Housing Regulator","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Scottish Government","Female","1520","1440","30120","28410"
"In post","2021","Scottish Prison Service","Scottish Government","Male","2970","2770","32590","33650"
"In post","2021","Scottish Public Pensions Agency","Scottish Government","Female","160","130","28590","26160"
"In post","2021","Scottish Public Pensions Agency","Scottish Government","Male","130","130","30910","26160"
"In post","2021","Serious Fraud Office","Attorney General's Departments","Female","220","210","45630","40170"
"In post","2021","Serious Fraud Office","Attorney General's Departments","Male","270","270","46720","41200"
"In post","2021","Social Security Scotland","Scottish Government","Female","660","620","30650","26160"
"In post","2021","Social Security Scotland","Scottish Government","Male","480","480","32930","28170"
"In post","2021","Standards and Testing Agency","Department for Education","Female","90","80","43820","41400"
"In post","2021","Standards and Testing Agency","Department for Education","Male","40","40","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","Scottish Government","Female","130","120","28540","24910"
"In post","2021","Student Awards Agency for Scotland","Scottish Government","Male","110","110","31230","27150"
"In post","2021","Submarine Delivery Agency","Ministry of Defence","Female","560","540","37990","34550"
"In post","2021","Submarine Delivery Agency","Ministry of Defence","Male","1230","1210","43170","41000"
"In post","2021","Teaching Regulation Agency","Department for Education","Female","50","40","[c]","[c]"
"In post","2021","Teaching Regulation Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","The National Archives","Female","290","270","35110","32290"
"In post","2021","The National Archives","The National Archives","Male","250","250","36130","34260"
"In post","2021","Transport Scotland","Scottish Government","Female","210","200","40780","38060"
"In post","2021","Transport Scotland","Scottish Government","Male","280","280","46830","46600"
"In post","2021","UK Export Finance","UK Export Finance","Female","150","150","49040","43000"
"In post","2021","UK Export Finance","UK Export Finance","Male","250","240","56280","50530"
"In post","2021","UK Hydrographic Office","Ministry of Defence","Female","290","270","33920","33290"
"In post","2021","UK Hydrographic Office","Ministry of Defence","Male","550","540","35200","33290"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Female","700","650","33730","28240"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Male","810","780","41280","40640"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","Female","130","130","44310","40050"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","Male","120","120","49660","49100"
"In post","2021","UK Supreme Court","UK Supreme Court","Female","30","30","[c]","[c]"
"In post","2021","UK Supreme Court","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Female","3110","2730","31370","29540"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Male","2380","2170","33990","30130"
