"Status","Year","Region_ITL2","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cheshire","SCS","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Cheshire East","130","120","38860","37410"
"In post","2021","Cheshire","SEO/HEO","Cheshire West and Chester","30","30","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Warrington","690","670","39760","39540"
"In post","2021","Cheshire","Unknown","Cheshire East","50","50","29630","30150"
"In post","2021","Cheshire","Unknown","Cheshire West and Chester","80","70","28740","28200"
"In post","2021","Cheshire","Unknown","Warrington","60","60","30010","30210"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Cornwall and Isles of Scilly","710","640","20860","21010"
"In post","2021","Cornwall and Isles of Scilly","EO","Cornwall and Isles of Scilly","620","570","27220","27570"
"In post","2021","Cornwall and Isles of Scilly","G6/G7","Cornwall and Isles of Scilly","50","40","58500","54990"
"In post","2021","Cornwall and Isles of Scilly","SEO/HEO","Cornwall and Isles of Scilly","210","200","35630","34160"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Cornwall and Isles of Scilly","50","40","29330","28200"
"In post","2021","Cumbria","AA/AO","East Cumbria","340","310","21450","21050"
"In post","2021","Cumbria","AA/AO","West Cumbria","580","520","22240","21050"
"In post","2021","Cumbria","EO","East Cumbria","300","280","25240","25740"
"In post","2021","Cumbria","EO","West Cumbria","270","250","27160","27380"
"In post","2021","Cumbria","G6/G7","East Cumbria","60","50","53310","51470"
"In post","2021","Cumbria","G6/G7","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SCS","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SCS","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","SEO/HEO","East Cumbria","180","170","34470","33300"
"In post","2021","Cumbria","SEO/HEO","West Cumbria","140","130","35400","34320"
"In post","2021","Cumbria","Unknown","East Cumbria","60","50","29900","28200"
"In post","2021","Cumbria","Unknown","West Cumbria","190","180","40150","38860"
"In post","2021","Derbyshire and Nottinghamshire","AA/AO","Derby","490","420","21470","21010"
"In post","2021","Derbyshire and Nottinghamshire","AA/AO","East Derbyshire","100","90","20350","20300"
"In post","2021","Derbyshire and Nottinghamshire","AA/AO","North Nottinghamshire","420","400","24120","23240"
"In post","2021","Derbyshire and Nottinghamshire","AA/AO","Nottingham","2080","1890","21190","20600"
"In post","2021","Derbyshire and Nottinghamshire","AA/AO","South and West Derbyshire","340","310","24550","22850"
"In post","2021","Derbyshire and Nottinghamshire","AA/AO","South Nottinghamshire","350","330","24130","22160"
"In post","2021","Derbyshire and Nottinghamshire","EO","Derby","300","270","27480","27570"
"In post","2021","Derbyshire and Nottinghamshire","EO","East Derbyshire","200","180","27320","27570"
"In post","2021","Derbyshire and Nottinghamshire","EO","North Nottinghamshire","320","300","27800","27570"
"In post","2021","Derbyshire and Nottinghamshire","EO","Nottingham","2150","2000","26100","25860"
"In post","2021","Derbyshire and Nottinghamshire","EO","South and West Derbyshire","370","330","27880","27570"
"In post","2021","Derbyshire and Nottinghamshire","EO","South Nottinghamshire","200","190","28130","27570"
"In post","2021","Derbyshire and Nottinghamshire","G6/G7","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","G6/G7","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","G6/G7","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","G6/G7","Nottingham","950","920","56200","52580"
"In post","2021","Derbyshire and Nottinghamshire","G6/G7","South and West Derbyshire","100","90","60820","57510"
"In post","2021","Derbyshire and Nottinghamshire","G6/G7","South Nottinghamshire","40","30","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","SCS","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","SCS","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","SCS","Nottingham","60","60","90540","82670"
"In post","2021","Derbyshire and Nottinghamshire","SCS","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","SCS","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","SEO/HEO","Derby","60","50","35330","34290"
"In post","2021","Derbyshire and Nottinghamshire","SEO/HEO","East Derbyshire","40","30","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","SEO/HEO","North Nottinghamshire","130","130","39020","37280"
"In post","2021","Derbyshire and Nottinghamshire","SEO/HEO","Nottingham","2540","2410","34880","32160"
"In post","2021","Derbyshire and Nottinghamshire","SEO/HEO","South and West Derbyshire","300","280","38080","36480"
"In post","2021","Derbyshire and Nottinghamshire","SEO/HEO","South Nottinghamshire","170","170","37620","36480"
