"Status","Year","Sex","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Accountant in Bankruptcy","Scottish Government","80","70","30250","29190"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","620","570","32080","30950"
"In post","2021","Female","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","1610","1490","29560","25730"
"In post","2021","Female","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office (excl. agencies)","Cabinet Office","5040","4890","44370","35590"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","290","260","31560","29270"
"In post","2021","Female","Charity Commission","Charity Commission","250","230","34360","29160"
"In post","2021","Female","Companies House","Department for Business, Energy and Industrial Strategy","610","530","29120","24500"
"In post","2021","Female","Competition and Markets Authority","Competition and Markets Authority","430","410","58550","55860"
"In post","2021","Female","Criminal Injuries Compensation Authority","Ministry of Justice","160","140","26500","22570"
"In post","2021","Female","Crown Commercial Service","Other Cabinet Office Agencies","410","390","36580","34800"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","Scottish Government","1460","1330","34880","29040"
"In post","2021","Female","Crown Prosecution Service","Attorney General's Departments","4480","4060","39710","33310"
"In post","2021","Female","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt Management Office","HM Treasury","40","40","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","Ministry of Defence","70","70","28060","25200"
"In post","2021","Female","Defence Equipment and Support","Ministry of Defence","3650","3410","34100","31950"
"In post","2021","Female","Defence Science and Technology Laboratory","Ministry of Defence","1540","1440","37730","37320"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","2600","2510","47560","44370"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","960","930","48180","51730"
"In post","2021","Female","Department for Education (excl. agencies)","Department for Education","3370","3180","43730","40230"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","2960","2790","41630","37240"
"In post","2021","Female","Department for International Trade","Department for International Trade","1270","1250","44620","38690"
"In post","2021","Female","Department for Transport (excl. agencies)","Department for Transport","1540","1480","45810","42890"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","59540","51290","27230","27570"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","2100","2030","45460","40650"
"In post","2021","Female","Disclosure Scotland","Scottish Government","160","140","28010","24110"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Department for Transport","3770","3110","24230","21590"
"In post","2021","Female","Driver and Vehicle Standards Agency","Department for Transport","1430","1310","29020","26780"
"In post","2021","Female","Education and Skills Funding Agency","Department for Education","1020","960","41100","36960"
"In post","2021","Female","Education Scotland","Scottish Government","230","220","54330","56120"
