"Status","Year","Sexual_orientation","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","Female","50","40","32060","29190"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","Male","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Female","380","340","33780","31240"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Male","250","240","36290","34500"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Female","1170","1090","29310","25520"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Male","710","690","32350","29180"
"In post","2021","Heterosexual / straight","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Female","2470","2370","45960","40580"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Male","1940","1920","50540","49700"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Female","110","100","32680","29270"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Male","110","110","34940","30220"
"In post","2021","Heterosexual / straight","Charity Commission","Female","130","120","34350","29160"
"In post","2021","Heterosexual / straight","Charity Commission","Male","100","100","34560","29160"
"In post","2021","Heterosexual / straight","Companies House","Female","430","380","30060","24900"
"In post","2021","Heterosexual / straight","Companies House","Male","290","280","34620","32810"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Female","360","350","58160","55860"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Male","320","320","61680","58320"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Female","120","100","27150","22710"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Male","70","70","25840","22640"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Female","300","280","37040","34800"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Male","260","260","40600","35420"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Female","1270","1160","34420","29040"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Male","470","450","37130","31720"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Female","3240","2960","39340","33310"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Male","1550","1510","44330","48080"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Male","110","110","28590","27460"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Female","2920","2730","34070","31600"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Male","5550","5450","37760","35630"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Female","1190","1100","37900","37320"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Male","1890","1850","41750","40850"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","1900","1820","48160","47780"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","1890","1870","50810","53380"
