"Status","Year","Region_ITL3","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Crown Office and Procurator Fiscal Service","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Department for Work and Pensions (excl. agencies)","60","50","20600","21010"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Forestry and Land Scotland","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Ministry of Defence (excl. agencies)","90","90","37390","41570"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Scottish Courts and Tribunals Service","50","40","21540","22820"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Scottish Government (excl. agencies)","50","50","22960","22500"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Scottish Prison Service","140","130","23230","22430"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Department for Work and Pensions (excl. agencies)","180","160","27540","27570"
