"Status","Year","Region_ITL2","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Declared non-disabled","130","110","43930","40800"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Unknown","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
