"Status","Year","Function_of_post","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA/AO","Female","110","100","21380","21050"
"In post","2021","Analysis","AA/AO","Male","100","100","21750","21260"
"In post","2021","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Female","370","340","26260","25880"
"In post","2021","Analysis","EO","Male","360","350","26720","26410"
"In post","2021","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Female","1010","940","57880","55970"
"In post","2021","Analysis","G6/G7","Male","1400","1370","58800","56520"
"In post","2021","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Female","60","60","88120","79520"
"In post","2021","Analysis","SCS","Male","90","90","89390","79930"
"In post","2021","Analysis","SEO/HEO","Female","1700","1610","35740","36030"
"In post","2021","Analysis","SEO/HEO","Male","1970","1940","35970","36030"
"In post","2021","Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Female","300","280","22080","21440"
"In post","2021","Commercial","AA/AO","Male","220","210","22150","21160"
"In post","2021","Commercial","EO","Female","510","470","26710","26670"
"In post","2021","Commercial","EO","Male","350","350","26980","26670"
"In post","2021","Commercial","G6/G7","Female","800","780","60520","56040"
"In post","2021","Commercial","G6/G7","Male","940","930","62230","59110"
"In post","2021","Commercial","SCS","Female","230","220","88300","73000"
"In post","2021","Commercial","SCS","Male","350","350","96120","77920"
"In post","2021","Commercial","SEO/HEO","Female","1570","1510","37360","36910"
"In post","2021","Commercial","SEO/HEO","Male","1460","1440","39140","38630"
"In post","2021","Commercial","Unknown","Female","110","110","37840","34500"
"In post","2021","Commercial","Unknown","Male","130","130","44000","40590"
"In post","2021","Communications","AA/AO","Female","300","260","21410","21400"
"In post","2021","Communications","AA/AO","Male","200","190","21490","21130"
"In post","2021","Communications","EO","Female","1500","1410","26040","25560"
"In post","2021","Communications","EO","Male","1700","1670","25560","25560"
"In post","2021","Communications","G6/G7","Female","640","600","57850","56130"
"In post","2021","Communications","G6/G7","Male","430","430","58350","55630"
"In post","2021","Communications","SCS","Female","70","70","85110","80370"
"In post","2021","Communications","SCS","Male","60","60","92600","84020"
"In post","2021","Communications","SEO/HEO","Female","1780","1710","36010","34770"
"In post","2021","Communications","SEO/HEO","Male","1520","1510","35470","33300"
"In post","2021","Counter Fraud","AA/AO","Female","520","430","21520","21440"
"In post","2021","Counter Fraud","AA/AO","Male","330","320","21400","20650"
"In post","2021","Counter Fraud","EO","Female","1720","1560","26980","25560"
"In post","2021","Counter Fraud","EO","Male","1690","1650","26990","25560"
"In post","2021","Counter Fraud","G6/G7","Female","390","370","56230","52770"
"In post","2021","Counter Fraud","G6/G7","Male","710","680","58120","57890"
"In post","2021","Counter Fraud","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Female","1870","1740","34780","32520"
"In post","2021","Counter Fraud","SEO/HEO","Male","2340","2270","35540","35000"
"In post","2021","Debt","AA/AO","Female","1950","1660","21110","20140"
"In post","2021","Debt","AA/AO","Male","1470","1410","20730","20140"
"In post","2021","Debt","EO","Female","530","460","26920","25560"
"In post","2021","Debt","EO","Male","420","410","26720","25560"
"In post","2021","Debt","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Female","140","130","33980","31810"
"In post","2021","Debt","SEO/HEO","Male","110","100","35320","35000"
