"Status","Year","Region_ITL3","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","30-39","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","No function","20-29","100","90","25200","24450"
"In post","2021","Aberdeen City and Aberdeenshire","No function","30-39","140","140","34450","31660"
"In post","2021","Aberdeen City and Aberdeenshire","No function","40-49","160","160","47560","34660"
"In post","2021","Aberdeen City and Aberdeenshire","No function","50-59","220","210","44960","33650"
"In post","2021","Aberdeen City and Aberdeenshire","No function","60-64","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","No function","65+","[c]","[c]","[c]","[c]"
