"Status","Year","Parent_department","Region_ITL3","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","30-39","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","50-59","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","20-29","50","50","26280","23470"
"In post","2021","Attorney General's Departments","Birmingham","30-39","90","80","37290","38000"
"In post","2021","Attorney General's Departments","Birmingham","40-49","140","130","43220","48080"
"In post","2021","Attorney General's Departments","Birmingham","50-59","170","160","43200","38180"
"In post","2021","Attorney General's Departments","Birmingham","60-64","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","40-49","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","50-59","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","20-29","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","40-49","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","50-59","50","50","45960","49580"
"In post","2021","Attorney General's Departments","Bristol, City of","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","30-39","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","40-49","70","60","41970","48080"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","50-59","80","70","41400","34480"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Central Valleys","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","50-59","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derby","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derby","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Cumbria","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Cumbria","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Cumbria","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Cumbria","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Cumbria","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Derbyshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Derbyshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Kent","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Kent","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Kent","40-49","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","East Kent","50-59","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","East Kent","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Kent","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","60-64","[c]","[c]","[c]","[c]"
