"Status","Year","Disability","Region_ITL3","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","30-39","40","30","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","50-59","40","40","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","30-39","40","40","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","40-49","60","60","24870","21440"
"In post","2021","Declared disabled","Angus and Dundee City","50-59","90","80","24560","21150"
"In post","2021","Declared disabled","Angus and Dundee City","60-64","30","30","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","20-29","[c]","[c]","[c]","[c]"
