"Status","Year","Region_ITL3","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Scottish Government","570","530","31280","29190"
"In post","2021","Angus and Dundee City","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","Department for Work and Pensions","170","150","23340","21010"
"In post","2021","Angus and Dundee City","Declared disabled","HM Revenue and Customs","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","Scottish Government","50","50","27510","23340"
"In post","2021","Angus and Dundee City","Declared non-disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared non-disabled","Department for Work and Pensions","700","640","24080","21010"
"In post","2021","Angus and Dundee City","Declared non-disabled","HM Revenue and Customs","120","110","26020","21440"
"In post","2021","Angus and Dundee City","Declared non-disabled","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared non-disabled","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared non-disabled","Scottish Government","300","290","33610","28610"
"In post","2021","Angus and Dundee City","Undeclared","Department for Work and Pensions","60","60","23140","21010"
"In post","2021","Angus and Dundee City","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","HM Revenue and Customs","140","130","21900","20140"
"In post","2021","Angus and Dundee City","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Scottish Government","220","200","30350","23730"
"In post","2021","Antrim and Newtownabbey","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","Ministry of Defence","120","110","23870","20310"
"In post","2021","Antrim and Newtownabbey","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Ministry of Defence","40","30","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","Ministry of Defence","110","100","23490","20310"
"In post","2021","Ards and North Down","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared non-disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Department for Work and Pensions","80","70","31180","31060"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Department for Work and Pensions","350","320","30930","31060"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Ministry of Justice","80","70","28350","26150"
"In post","2021","Barking & Dagenham and Havering","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared non-disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared non-disabled","Department for Work and Pensions","230","210","30750","31060"
"In post","2021","Barnet","Declared non-disabled","Department of Health and Social Care","650","620","38830","33100"
"In post","2021","Barnet","Declared non-disabled","Home Office","120","120","44680","42170"
"In post","2021","Barnet","Declared non-disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Declared non-disabled","Ministry of Justice","60","60","27310","26150"
"In post","2021","Barnet","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Department of Health and Social Care","50","40","[c]","[c]"
"In post","2021","Barnet","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Department of Health and Social Care","370","340","49770","44950"
"In post","2021","Barnet","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Department for Work and Pensions","250","210","24920","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","Ministry of Justice","170","150","29240","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Department for Transport","50","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Department for Work and Pensions","1030","860","25160","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Home Office","30","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","Ministry of Justice","1010","930","28830","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Department for Work and Pensions","60","50","25030","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","Ministry of Justice","190","180","31290","31650"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Ministry of Justice","140","130","24030","22850"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Department for Work and Pensions","70","60","27440","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Ministry of Defence","1180","1140","37390","35010"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Ministry of Justice","70","70","31570","31300"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Department for Work and Pensions","230","210","27480","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Home Office","170","160","26530","25240"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Ministry of Defence","8450","8170","38690","36100"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Ministry of Justice","520","470","31020","28220"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","National Crime Agency","110","110","38860","36690"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Ministry of Defence","720","700","40930","40070"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Ministry of Justice","100","90","30670","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Cabinet Office","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Ministry of Defence","1210","1160","38190","36110"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Ministry of Justice","50","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","National Crime Agency","290","280","34720","34140"
"In post","2021","Bedford","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Department for Work and Pensions","40","30","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared disabled","Ministry of Justice","50","50","29290","27850"
"In post","2021","Bedford","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Department for Work and Pensions","180","160","31710","27570"
"In post","2021","Bedford","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Home Office","90","90","29030","26160"
"In post","2021","Bedford","Declared non-disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Declared non-disabled","Ministry of Justice","260","250","30270","30400"
"In post","2021","Bedford","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","Bedford","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Ministry of Justice","60","60","24190","22850"
"In post","2021","Bedford","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","HM Revenue and Customs","180","160","28300","25560"
"In post","2021","Belfast","Declared disabled","Home Office","30","30","[c]","[c]"
"In post","2021","Belfast","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared non-disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared non-disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared non-disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared non-disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared non-disabled","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Declared non-disabled","Food Standards Agency","50","40","[c]","[c]"
"In post","2021","Belfast","Declared non-disabled","HM Revenue and Customs","1110","1030","30410","28130"
"In post","2021","Belfast","Declared non-disabled","Home Office","360","320","24780","21430"
"In post","2021","Belfast","Declared non-disabled","Ministry of Defence","50","40","[c]","[c]"
"In post","2021","Belfast","Declared non-disabled","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Belfast","Declared non-disabled","Northern Ireland Office","40","40","[c]","[c]"
"In post","2021","Belfast","Undeclared","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","Belfast","Undeclared","HM Revenue and Customs","90","80","28210","25560"
"In post","2021","Belfast","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","HM Revenue and Customs","620","580","25250","21440"
"In post","2021","Belfast","Unknown","Home Office","50","40","[c]","[c]"
"In post","2021","Belfast","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","National Crime Agency","70","70","40360","40210"
"In post","2021","Belfast","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","Department for Work and Pensions","70","60","29600","29290"
"In post","2021","Berkshire","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","HM Revenue and Customs","40","30","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","Ministry of Defence","80","80","34650","37320"
"In post","2021","Berkshire","Declared disabled","Ministry of Justice","50","50","[c]","[c]"
"In post","2021","Berkshire","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared non-disabled","Attorney General's Departments","90","80","44880","40280"
"In post","2021","Berkshire","Declared non-disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared non-disabled","Department for Business, Energy and Industrial Strategy","40","30","[c]","[c]"
"In post","2021","Berkshire","Declared non-disabled","Department for Environment, Food and Rural Affairs","270","260","35340","31040"
"In post","2021","Berkshire","Declared non-disabled","Department for International Trade","90","80","47720","51970"
"In post","2021","Berkshire","Declared non-disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared non-disabled","Department for Work and Pensions","340","310","29420","29290"
"In post","2021","Berkshire","Declared non-disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared non-disabled","HM Revenue and Customs","180","170","35060","32310"
"In post","2021","Berkshire","Declared non-disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Declared non-disabled","Home Office","40","40","[c]","[c]"
"In post","2021","Berkshire","Declared non-disabled","Ministry of Defence","590","580","34400","33000"
"In post","2021","Berkshire","Declared non-disabled","Ministry of Justice","170","160","29120","24440"
