"Status","Year","Region_ITL3","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Department for Work and Pensions","50","50","30950","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Scottish Government","60","50","35350","33640"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Department for Business, Energy and Industrial Strategy","110","100","47410","41420"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Department for Transport","60","50","32710","27230"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Department for Work and Pensions","290","260","42330","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Home Office","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Ministry of Defence","60","60","38510","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Scottish Government","480","460","35970","32140"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
