"Status","Year","Parent_department","Age","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","16-19","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","York","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Birmingham","50","50","26280","23470"
"In post","2021","Attorney General's Departments","20-29","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Bristol, City of","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Leeds","60","60","28440","25480"
"In post","2021","Attorney General's Departments","20-29","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Liverpool","80","80","26360","23470"
"In post","2021","Attorney General's Departments","20-29","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Nottingham","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Westminster","640","630","33570","29280"
"In post","2021","Attorney General's Departments","20-29","York","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Berkshire","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Birmingham","90","80","37290","38000"
"In post","2021","Attorney General's Departments","30-39","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Cardiff and Vale of Glamorgan","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Heart of Essex","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Hertfordshire","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
