"Status","Year","Region_ITL1","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Female","Commercial","90","80","36840","31930"
"In post","2021","East Midlands (England)","Female","Communications","240","230","30890","26780"
"In post","2021","East Midlands (England)","Female","Counter Fraud","250","220","31900","31810"
"In post","2021","East Midlands (England)","Female","Debt","140","120","21820","20140"
"In post","2021","East Midlands (England)","Female","Digital, Data & Technology","120","110","37210","33030"
"In post","2021","East Midlands (England)","Female","Finance","140","130","33900","31810"
"In post","2021","East Midlands (England)","Female","Grants Management","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Female","Human Resources","340","320","36960","32100"
"In post","2021","East Midlands (England)","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Female","Legal","410","360","36720","31810"
"In post","2021","East Midlands (England)","Female","No function","5920","5330","28200","25350"
"In post","2021","East Midlands (England)","Female","Project Delivery","320","300","37350","34000"
"In post","2021","East Midlands (England)","Female","Property","240","220","31140","27510"
"In post","2021","East Midlands (England)","Female","Security","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Female","Unknown","3690","3200","26050","27570"
"In post","2021","East Midlands (England)","Male","Analysis","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Male","Commercial","80","70","45310","42320"
"In post","2021","East Midlands (England)","Male","Communications","270","260","28820","25560"
"In post","2021","East Midlands (England)","Male","Counter Fraud","290","280","34890","31810"
"In post","2021","East Midlands (England)","Male","Debt","120","110","21400","20140"
"In post","2021","East Midlands (England)","Male","Digital, Data & Technology","190","190","36820","33150"
"In post","2021","East Midlands (England)","Male","Finance","100","100","39180","33300"
"In post","2021","East Midlands (England)","Male","Grants Management","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Male","Human Resources","160","160","36630","31810"
"In post","2021","East Midlands (England)","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Male","Legal","210","200","40380","38000"
"In post","2021","East Midlands (England)","Male","No function","5060","4860","30380","27150"
"In post","2021","East Midlands (England)","Male","Project Delivery","340","330","39240","37310"
"In post","2021","East Midlands (England)","Male","Property","260","250","34980","32560"
"In post","2021","East Midlands (England)","Male","Security","120","120","29780","27750"
"In post","2021","East Midlands (England)","Male","Unknown","2090","2010","26690","27570"
"In post","2021","East of England","Female","Analysis","170","150","32370","29990"
"In post","2021","East of England","Female","Commercial","220","200","38650","35730"
"In post","2021","East of England","Female","Communications","50","50","[c]","[c]"
"In post","2021","East of England","Female","Counter Fraud","240","210","27280","25560"
"In post","2021","East of England","Female","Debt","90","70","24750","25120"
"In post","2021","East of England","Female","Digital, Data & Technology","170","160","35930","32960"
"In post","2021","East of England","Female","Finance","300","270","33080","31810"
"In post","2021","East of England","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Female","Human Resources","150","140","34020","30990"
"In post","2021","East of England","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Female","Legal","410","360","38620","33840"
"In post","2021","East of England","Female","No function","4490","4070","29060","26170"
"In post","2021","East of England","Female","Project Delivery","430","400","36950","34510"
"In post","2021","East of England","Female","Property","240","230","31200","29580"
"In post","2021","East of England","Female","Security","150","140","29150","24620"
"In post","2021","East of England","Female","Unknown","5040","4460","27910","27570"
"In post","2021","East of England","Male","Analysis","220","210","37180","35900"
"In post","2021","East of England","Male","Commercial","180","170","44290","39950"
"In post","2021","East of England","Male","Communications","50","50","31950","29230"
"In post","2021","East of England","Male","Counter Fraud","210","200","30170","28130"
"In post","2021","East of England","Male","Debt","50","50","25140","24670"
"In post","2021","East of England","Male","Digital, Data & Technology","380","360","36380","33630"
"In post","2021","East of England","Male","Finance","180","170","37830","35000"
"In post","2021","East of England","Male","Grants Management","30","30","[c]","[c]"
"In post","2021","East of England","Male","Human Resources","60","60","37970","33800"
"In post","2021","East of England","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Male","Legal","180","170","45960","49420"
"In post","2021","East of England","Male","No function","4070","3920","31580","30400"
"In post","2021","East of England","Male","Project Delivery","450","440","39470","37640"
"In post","2021","East of England","Male","Property","300","290","33120","33300"
"In post","2021","East of England","Male","Security","400","400","34730","33300"
"In post","2021","East of England","Male","Unknown","3670","3500","29170","27570"
"In post","2021","London","Female","Analysis","1490","1410","48450","44380"
"In post","2021","London","Female","Commercial","890","860","54130","51260"
"In post","2021","London","Female","Communications","1380","1340","45100","41030"
"In post","2021","London","Female","Counter Fraud","1000","940","37540","36160"
"In post","2021","London","Female","Debt","350","300","27100","25630"
"In post","2021","London","Female","Digital, Data & Technology","1390","1350","47310","43800"
"In post","2021","London","Female","Finance","1260","1210","46230","41430"
"In post","2021","London","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","London","Female","Human Resources","1820","1760","46340","41580"
"In post","2021","London","Female","Internal Audit","90","90","51090","49600"
"In post","2021","London","Female","Legal","3420","3140","51260","51730"
"In post","2021","London","Female","No function","23110","22050","41230","35990"
"In post","2021","London","Female","Project Delivery","2680","2580","50840","51500"
"In post","2021","London","Female","Property","560","530","39880","35100"
"In post","2021","London","Female","Security","420","410","41410","36950"
"In post","2021","London","Female","Unknown","15410","14240","37030","31060"
"In post","2021","London","Male","Analysis","1950","1930","49350","45250"
"In post","2021","London","Male","Commercial","990","980","63090","56490"
"In post","2021","London","Male","Communications","1070","1060","44360","40600"
"In post","2021","London","Male","Counter Fraud","1320","1290","40500","36160"
"In post","2021","London","Male","Debt","210","200","30210","25630"
"In post","2021","London","Male","Digital, Data & Technology","2010","1990","50480","50540"
"In post","2021","London","Male","Finance","1290","1280","51220","46690"
"In post","2021","London","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","London","Male","Human Resources","840","820","47180","42200"
"In post","2021","London","Male","Internal Audit","130","120","55720","53710"
"In post","2021","London","Male","Legal","1980","1930","54010","54870"
"In post","2021","London","Male","No function","19460","19140","44080","38540"
"In post","2021","London","Male","Project Delivery","2430","2390","54340","53780"
"In post","2021","London","Male","Property","750","730","46300","41700"
"In post","2021","London","Male","Security","680","670","40870","37560"
"In post","2021","London","Male","Unknown","11550","11240","39990","34630"
"In post","2021","London","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Commercial","50","50","43700","38280"
"In post","2021","North East (England)","Female","Communications","800","740","27990","25560"
"In post","2021","North East (England)","Female","Counter Fraud","260","240","31410","31810"
"In post","2021","North East (England)","Female","Debt","330","290","21330","20140"
"In post","2021","North East (England)","Female","Digital, Data & Technology","310","290","38600","35290"
"In post","2021","North East (England)","Female","Finance","230","210","34420","31810"
"In post","2021","North East (England)","Female","Grants Management","150","130","25750","22980"
"In post","2021","North East (England)","Female","Human Resources","400","360","28260","25550"
"In post","2021","North East (England)","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","Legal","330","290","37300","32370"
"In post","2021","North East (England)","Female","No function","7320","6180","25820","21530"
"In post","2021","North East (England)","Female","Project Delivery","620","570","38550","38630"
"In post","2021","North East (England)","Female","Property","290","270","26750","24500"
"In post","2021","North East (England)","Female","Security","40","40","[c]","[c]"
"In post","2021","North East (England)","Female","Unknown","6870","5810","26190","26120"
"In post","2021","North East (England)","Male","Analysis","30","30","[c]","[c]"
"In post","2021","North East (England)","Male","Commercial","60","50","50320","50850"
"In post","2021","North East (England)","Male","Communications","740","730","28000","25560"
"In post","2021","North East (England)","Male","Counter Fraud","270","270","32780","31810"
"In post","2021","North East (England)","Male","Debt","260","260","21970","20140"
"In post","2021","North East (England)","Male","Digital, Data & Technology","470","450","38840","38180"
"In post","2021","North East (England)","Male","Finance","200","200","39890","38630"
"In post","2021","North East (England)","Male","Grants Management","110","100","24870","21050"
"In post","2021","North East (England)","Male","Human Resources","210","210","29010","25550"
"In post","2021","North East (England)","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Male","Legal","160","160","41410","41870"
"In post","2021","North East (England)","Male","No function","5050","4760","28060","25560"
"In post","2021","North East (England)","Male","Project Delivery","500","490","41140","38630"
"In post","2021","North East (England)","Male","Property","270","250","31890","25930"
"In post","2021","North East (England)","Male","Security","60","60","33670","32040"
"In post","2021","North East (England)","Male","Unknown","4150","3950","28030","27570"
"In post","2021","North West (England)","Female","Analysis","170","160","38710","36840"
"In post","2021","North West (England)","Female","Commercial","410","390","41830","37100"
"In post","2021","North West (England)","Female","Communications","340","330","31720","29360"
"In post","2021","North West (England)","Female","Counter Fraud","810","730","32040","31810"
"In post","2021","North West (England)","Female","Debt","180","160","23740","21440"
"In post","2021","North West (England)","Female","Digital, Data & Technology","340","320","38870","36500"
"In post","2021","North West (England)","Female","Finance","320","300","37420","33310"
"In post","2021","North West (England)","Female","Grants Management","490","420","23930","21050"
"In post","2021","North West (England)","Female","Human Resources","920","850","33600","30610"
"In post","2021","North West (England)","Female","Internal Audit","40","30","[c]","[c]"
"In post","2021","North West (England)","Female","Legal","950","860","38440","33310"
"In post","2021","North West (England)","Female","No function","11970","10770","28270","25000"
"In post","2021","North West (England)","Female","Project Delivery","990","930","37820","35000"
"In post","2021","North West (England)","Female","Property","260","240","33820","29910"
"In post","2021","North West (England)","Female","Security","90","90","32280","31810"
"In post","2021","North West (England)","Female","Unknown","15850","13850","26440","26160"
"In post","2021","North West (England)","Male","Analysis","200","200","38310","38630"
"In post","2021","North West (England)","Male","Commercial","370","360","44580","38990"
"In post","2021","North West (England)","Male","Communications","370","360","30060","25560"
"In post","2021","North West (England)","Male","Counter Fraud","880","850","33900","31810"
"In post","2021","North West (England)","Male","Debt","160","150","23330","21440"
"In post","2021","North West (England)","Male","Digital, Data & Technology","540","530","38730","36500"
"In post","2021","North West (England)","Male","Finance","350","350","37690","33490"
"In post","2021","North West (England)","Male","Grants Management","260","250","24430","21050"
"In post","2021","North West (England)","Male","Human Resources","400","390","33070","30890"
"In post","2021","North West (England)","Male","Internal Audit","30","30","[c]","[c]"
"In post","2021","North West (England)","Male","Legal","510","490","41920","38630"
"In post","2021","North West (England)","Male","No function","9710","9260","30140","26810"
"In post","2021","North West (England)","Male","Project Delivery","990","970","39770","38630"
"In post","2021","North West (England)","Male","Property","280","270","35790","32110"
"In post","2021","North West (England)","Male","Security","210","200","28060","23540"
"In post","2021","North West (England)","Male","Unknown","9970","9620","28030","27570"
"In post","2021","Northern Ireland","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Counter Fraud","190","170","30810","28130"
"In post","2021","Northern Ireland","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","No function","910","810","28360","25560"
"In post","2021","Northern Ireland","Female","Project Delivery","30","30","[c]","[c]"
"In post","2021","Northern Ireland","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Security","30","30","[c]","[c]"
"In post","2021","Northern Ireland","Female","Unknown","470","420","25740","22330"
"In post","2021","Northern Ireland","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Counter Fraud","210","200","31510","31810"
"In post","2021","Northern Ireland","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","No function","860","830","29450","25560"
"In post","2021","Northern Ireland","Male","Project Delivery","40","40","[c]","[c]"
"In post","2021","Northern Ireland","Male","Property","80","70","30050","27720"
"In post","2021","Northern Ireland","Male","Security","370","360","21350","20310"
"In post","2021","Northern Ireland","Male","Unknown","450","430","25110","22700"
"In post","2021","Overseas","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","No function","690","680","50960","52370"
"In post","2021","Overseas","Female","Project Delivery","300","300","56050","55620"
"In post","2021","Overseas","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Female","Security","30","30","[c]","[c]"
"In post","2021","Overseas","Female","Unknown","400","400","42780","41600"
"In post","2021","Overseas","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Commercial","30","30","[c]","[c]"
"In post","2021","Overseas","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Male","No function","1110","1110","54410","54470"
"In post","2021","Overseas","Male","Project Delivery","350","340","55120","55060"
"In post","2021","Overseas","Male","Property","170","170","39840","39410"
"In post","2021","Overseas","Male","Security","100","100","39720","34450"
