"Status","Year","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derby","1010","900","26450","22920"
"In post","2021","East Midlands (England)","East Derbyshire","400","340","26830","27570"
"In post","2021","East Midlands (England)","Leicester","2620","2360","26860","25400"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","2030","1890","29100","26810"
"In post","2021","East Midlands (England)","Lincolnshire","2830","2660","28120","26750"
"In post","2021","East Midlands (England)","North Northamptonshire","510","450","25610","27570"
"In post","2021","East Midlands (England)","North Nottinghamshire","990","930","28920","27570"
"In post","2021","East Midlands (England)","Nottingham","7960","7430","31780","27570"
"In post","2021","East Midlands (England)","South and West Derbyshire","1160","1050","32860","27970"
"In post","2021","East Midlands (England)","South Nottinghamshire","780","730","30500","27570"
"In post","2021","East Midlands (England)","West Northamptonshire","1100","1010","26470","24440"
"In post","2021","East of England","Bedford","840","780","30220","28190"
"In post","2021","East of England","Breckland and South Norfolk","530","500","28550","26750"
"In post","2021","East of England","Cambridgeshire CC","3380","3200","33980","31220"
"In post","2021","East of England","Central Bedfordshire","430","420","30230","27570"
"In post","2021","East of England","Essex Haven Gateway","1130","1070","32320","29290"
"In post","2021","East of England","Essex Thames Gateway","940","830","27660","28730"
"In post","2021","East of England","Heart of Essex","1120","1050","31990","29290"
"In post","2021","East of England","Hertfordshire","2720","2560","34780","31170"
"In post","2021","East of England","Luton","550","490","26280","26700"
"In post","2021","East of England","North and West Norfolk","930","860","28020","27420"
"In post","2021","East of England","Norwich and East Norfolk","1790","1630","29570","27570"
"In post","2021","East of England","Peterborough","1670","1500","28180","25330"
"In post","2021","East of England","Southend-on-Sea","1340","1210","32090","29360"
"In post","2021","East of England","Suffolk","4170","3910","28710","27570"
"In post","2021","East of England","Thurrock","360","340","26380","25310"
"In post","2021","East of England","West Essex","700","620","30400","28590"
"In post","2021","London","Barking & Dagenham and Havering","600","550","30460","31060"
"In post","2021","London","Barnet","1680","1580","39880","32650"
"In post","2021","London","Bexley and Greenwich","1760","1680","31820","31060"
"In post","2021","London","Brent","600","560","31430","31060"
"In post","2021","London","Bromley","460","420","29400","31060"
