"Status","Year","Region_ITL1","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Finance","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Medicine","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Operational Delivery","5110","4680","22750","21550"
"In post","2021","East Midlands (England)","AA/AO","Other","590","560","20600","20920"
"In post","2021","East Midlands (England)","AA/AO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Property","120","120","18970","18760"
"In post","2021","East Midlands (England)","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Science and Engineering","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Security","110","110","25720","21130"
"In post","2021","East Midlands (England)","AA/AO","Tax","270","250","20160","20140"
"In post","2021","East Midlands (England)","AA/AO","Unknown","1570","1320","20810","21010"
"In post","2021","East Midlands (England)","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Digital, Data and Technology","70","60","26860","26670"
