"Status","Year","Function_of_post","Region_ITL1","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Declared non-disabled","240","230","33360","29990"
"In post","2021","Analysis","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Unknown","100","100","39610","37620"
"In post","2021","Analysis","London","Declared disabled","230","220","47220","42460"
"In post","2021","Analysis","London","Declared non-disabled","2250","2190","50070","46030"
"In post","2021","Analysis","London","Undeclared","220","220","45570","42470"
"In post","2021","Analysis","London","Unknown","740","720","46960","41760"
"In post","2021","Analysis","North East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Declared non-disabled","50","50","42140","42220"
"In post","2021","Analysis","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Declared disabled","40","40","[c]","[c]"
"In post","2021","Analysis","North West (England)","Declared non-disabled","260","250","39240","38630"
"In post","2021","Analysis","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Unknown","60","60","35390","31810"
"In post","2021","Analysis","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Analysis","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Declared disabled","100","90","38540","37320"
"In post","2021","Analysis","South East (England)","Declared non-disabled","490","470","40460","37320"
"In post","2021","Analysis","South East (England)","Undeclared","70","70","40470","39830"
"In post","2021","Analysis","South East (England)","Unknown","210","200","35110","30130"
"In post","2021","Analysis","South West (England)","Declared disabled","40","30","[c]","[c]"
"In post","2021","Analysis","South West (England)","Declared non-disabled","320","300","37500","35900"
"In post","2021","Analysis","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Unknown","90","80","35630","31060"
"In post","2021","Analysis","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Declared disabled","90","80","36440","36030"
"In post","2021","Analysis","Wales","Declared non-disabled","570","530","38480","36030"
"In post","2021","Analysis","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Unknown","410","400","33270","29540"
"In post","2021","Analysis","West Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Declared disabled","40","30","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Declared non-disabled","240","230","41910","42220"
"In post","2021","Analysis","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Unknown","60","60","41210","41990"
"In post","2021","Commercial","East Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Declared non-disabled","110","110","40300","36710"
"In post","2021","Commercial","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Declared disabled","40","40","[c]","[c]"
"In post","2021","Commercial","East of England","Declared non-disabled","220","210","39300","36260"
"In post","2021","Commercial","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Unknown","110","110","45270","38250"
"In post","2021","Commercial","London","Declared disabled","120","110","44960","40930"
"In post","2021","Commercial","London","Declared non-disabled","960","940","55250","46700"
"In post","2021","Commercial","London","Undeclared","80","80","51640","46600"
"In post","2021","Commercial","London","Unknown","720","700","66820","62010"
"In post","2021","Commercial","North East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Declared non-disabled","70","60","44620","40930"
"In post","2021","Commercial","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Declared disabled","60","50","36430","33300"
"In post","2021","Commercial","North West (England)","Declared non-disabled","350","330","42370","38220"
"In post","2021","Commercial","North West (England)","Undeclared","30","30","[c]","[c]"
"In post","2021","Commercial","North West (England)","Unknown","340","330","45630","41600"
"In post","2021","Commercial","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Declared disabled","30","30","[c]","[c]"
"In post","2021","Commercial","Scotland","Declared non-disabled","180","170","37000","34800"
"In post","2021","Commercial","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Unknown","160","150","40480","38500"
"In post","2021","Commercial","South East (England)","Declared disabled","70","60","33900","33300"
"In post","2021","Commercial","South East (England)","Declared non-disabled","450","440","36730","34250"
"In post","2021","Commercial","South East (England)","Undeclared","50","40","[c]","[c]"
"In post","2021","Commercial","South East (England)","Unknown","110","110","52370","51040"
"In post","2021","Commercial","South West (England)","Declared disabled","130","120","40630","40000"
"In post","2021","Commercial","South West (England)","Declared non-disabled","940","910","40200","38200"
"In post","2021","Commercial","South West (England)","Undeclared","80","70","43060","40580"
"In post","2021","Commercial","South West (England)","Unknown","210","200","52560","46820"
"In post","2021","Commercial","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Declared non-disabled","230","220","35630","32020"
"In post","2021","Commercial","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Unknown","80","70","36620","34800"
"In post","2021","Commercial","West Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Declared non-disabled","220","220","38720","34800"
"In post","2021","Commercial","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Unknown","80","80","46490","40780"
"In post","2021","Commercial","Yorkshire and The Humber","Declared disabled","50","40","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Declared non-disabled","200","200","42490","37870"
