"Status","Year","Region_ITL2","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Medicine","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Medicine","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Crown Prosecution Service","80","70","26630","26970"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Driver and Vehicle Standards Agency","100","90","29490","27230"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Health and Safety Executive","60","60","42950","45100"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","HM Courts and Tribunals Service","290","250","21980","20910"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","HM Prison and Probation Service","960","920","29460","29920"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Home Office (incl. agencies)","260","230","28550","26410"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Medicines and Healthcare Products Regulatory Agency","100","100","38710","33090"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","National Crime Agency","110","100","38680","37860"
"In post","2021","Bedfordshire and Hertfordshire","Operational Delivery","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other","Ministry of Defence (excl. agencies)","150","140","26460","23890"
"In post","2021","Bedfordshire and Hertfordshire","Policy","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Policy","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Policy","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Policy","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Ministry of Defence (excl. agencies)","120","120","42060","39740"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Psychology","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Psychology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Medicines and Healthcare Products Regulatory Agency","150","150","51090","45570"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Science and Engineering","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","Ministry of Defence (excl. agencies)","80","80","25050","22650"
"In post","2021","Bedfordshire and Hertfordshire","Statistics","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Tax","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Department for Work and Pensions (excl. agencies)","1110","1020","28790","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Ministry of Defence (excl. agencies)","80","80","36220","36300"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Veterinarian","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","FCDO Services","70","70","43520","40850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Ministry of Defence (excl. agencies)","70","60","36070","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Ministry of Defence (excl. agencies)","60","60","30620","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","90","80","41520","36970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","FCDO Services","110","100","44010","40670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Economics","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","FCDO Services","50","50","37380","28130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Ministry of Defence (excl. agencies)","180","170","36890","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","FCDO Services","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Ministry of Defence (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Intelligence Analysis","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","International Trade","Department for International Trade","60","60","43640","38540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","International Trade","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","Foreign, Commonwealth and Development Office (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Crown Prosecution Service","70","70","56700","57000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","FCDO Services","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","HM Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","HM Revenue and Customs (excl. agencies)","50","50","31400","30200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Medicine","Ministry of Defence (excl. agencies)","110","100","45660","37890"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Medicine","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Crown Prosecution Service","60","60","28220","26970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Driver and Vehicle Standards Agency","90","80","27680","26780"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","190","190","28600","24750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","HM Courts and Tribunals Service","280","250","22140","21180"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","HM Prison and Probation Service","2100","2000","30150","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","HM Revenue and Customs (excl. agencies)","170","160","24540","21420"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Home Office (incl. agencies)","70","70","27730","25630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","National Crime Agency","110","100","39540","39570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Public Health England","120","100","37030","30460"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Rural Payments Agency","160","150","28840","25220"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Operational Research","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other","Defence Equipment and Support","70","70","33140","29910"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other","Ministry of Defence (excl. agencies)","830","810","26110","21580"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Planning","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Ministry of Defence (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Policy","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","FCDO Services","60","60","37890","32480"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Ministry of Defence (excl. agencies)","280","270","40460","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","FCDO Services","180","180","35870","34080"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
