"Status","Year","Region_ITL3","Disability","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","North Eastern Scotland","130","130","33610","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","North Eastern Scotland","1050","990","38600","31060"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","North Eastern Scotland","60","50","42700","30360"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","North Eastern Scotland","630","590","32110","29350"
"In post","2021","Angus and Dundee City","Declared disabled","Eastern Scotland","260","240","24050","21010"
"In post","2021","Angus and Dundee City","Declared non-disabled","Eastern Scotland","1170","1070","26700","23120"
"In post","2021","Angus and Dundee City","Undeclared","Eastern Scotland","90","80","24390","21010"
"In post","2021","Angus and Dundee City","Unknown","Eastern Scotland","390","360","26710","22230"
"In post","2021","Antrim and Newtownabbey","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Declared non-disabled","Northern Ireland","130","130","25420","20310"
"In post","2021","Antrim and Newtownabbey","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Northern Ireland","40","30","[c]","[c]"
"In post","2021","Ards and North Down","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Declared non-disabled","Northern Ireland","140","130","27100","21590"
"In post","2021","Ards and North Down","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Northern Ireland","50","50","23610","20310"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Declared non-disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Declared disabled","Outer London - East and North East","110","90","30690","31060"
"In post","2021","Barking & Dagenham and Havering","Declared non-disabled","Outer London - East and North East","440","400","30540","31060"
"In post","2021","Barking & Dagenham and Havering","Undeclared","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Outer London - East and North East","30","30","[c]","[c]"
"In post","2021","Barnet","Declared disabled","Outer London - West and North West","120","120","35020","31060"
"In post","2021","Barnet","Declared non-disabled","Outer London - West and North West","1090","1030","36960","32330"
"In post","2021","Barnet","Undeclared","Outer London - West and North West","80","70","44840","33620"
"In post","2021","Barnet","Unknown","Outer London - West and North West","400","370","48480","44900"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared disabled","South Yorkshire","420","360","26890","27380"
"In post","2021","Barnsley, Doncaster and Rotherham","Declared non-disabled","South Yorkshire","2140","1890","27150","27370"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","South Yorkshire","250","240","29830","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","South Yorkshire","190","180","24280","22920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","1350","1290","36550","33370"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","Gloucestershire, Wiltshire and Bath/Bristol area","9550","9170","37790","34210"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","850","820","39270","37810"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","1610","1550","37730","34140"
"In post","2021","Bedford","Declared disabled","Bedfordshire and Hertfordshire","110","100","30210","28200"
"In post","2021","Bedford","Declared non-disabled","Bedfordshire and Hertfordshire","570","540","30750","28610"
"In post","2021","Bedford","Undeclared","Bedfordshire and Hertfordshire","60","60","29620","28650"
"In post","2021","Bedford","Unknown","Bedfordshire and Hertfordshire","100","100","27630","26850"
"In post","2021","Belfast","Declared disabled","Northern Ireland","240","220","28350","25560"
"In post","2021","Belfast","Declared non-disabled","Northern Ireland","1650","1540","29760","25560"
"In post","2021","Belfast","Undeclared","Northern Ireland","150","130","30500","28130"
"In post","2021","Belfast","Unknown","Northern Ireland","780","740","26930","24880"
"In post","2021","Berkshire","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","330","310","33310","30890"
"In post","2021","Berkshire","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","1870","1780","34490","30110"
"In post","2021","Berkshire","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","170","170","34430","31880"
"In post","2021","Berkshire","Unknown","Berkshire, Buckinghamshire and Oxfordshire","590","570","34650","32540"
"In post","2021","Bexley and Greenwich","Declared disabled","Outer London - East and North East","180","170","30780","31060"
"In post","2021","Bexley and Greenwich","Declared non-disabled","Outer London - East and North East","1150","1090","32200","31060"
"In post","2021","Bexley and Greenwich","Undeclared","Outer London - East and North East","210","200","32470","33180"
"In post","2021","Bexley and Greenwich","Unknown","Outer London - East and North East","230","230","30100","30150"
"In post","2021","Birmingham","Declared disabled","West Midlands","1280","1160","29350","27570"
"In post","2021","Birmingham","Declared non-disabled","West Midlands","7400","6860","31560","27570"
"In post","2021","Birmingham","Undeclared","West Midlands","620","580","31280","27570"
"In post","2021","Birmingham","Unknown","West Midlands","2310","2200","30920","26310"
"In post","2021","Blackburn with Darwen","Declared disabled","Lancashire","70","60","27350","27570"
"In post","2021","Blackburn with Darwen","Declared non-disabled","Lancashire","370","330","26840","27570"
"In post","2021","Blackburn with Darwen","Undeclared","Lancashire","30","30","[c]","[c]"
"In post","2021","Blackburn with Darwen","Unknown","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Declared disabled","Lancashire","770","680","27480","27570"
"In post","2021","Blackpool","Declared non-disabled","Lancashire","3930","3600","29310","27570"
"In post","2021","Blackpool","Undeclared","Lancashire","260","240","28490","27570"
"In post","2021","Blackpool","Unknown","Lancashire","190","180","30840","27570"
"In post","2021","Bournemouth and Poole","Declared disabled","Dorset and Somerset","120","110","26060","27570"
"In post","2021","Bournemouth and Poole","Declared non-disabled","Dorset and Somerset","520","470","27060","27570"
"In post","2021","Bournemouth and Poole","Undeclared","Dorset and Somerset","40","40","[c]","[c]"
