"Status","Year","Profession_of_post","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA/AO","Female","160","150","22370","21710"
"In post","2021","Commercial","AA/AO","Male","110","100","22760","21590"
"In post","2021","Commercial","EO","Female","420","390","25870","26400"
"In post","2021","Commercial","EO","Male","290","280","26120","26360"
"In post","2021","Commercial","G6/G7","Female","470","450","57950","54970"
"In post","2021","Commercial","G6/G7","Male","550","540","59890","58110"
"In post","2021","Commercial","SCS","Female","50","40","[c]","[c]"
"In post","2021","Commercial","SCS","Male","60","60","89190","80900"
"In post","2021","Commercial","SEO/HEO","Female","1650","1570","36900","36780"
"In post","2021","Commercial","SEO/HEO","Male","1390","1380","38550","38160"
"In post","2021","Commercial","Unknown","Female","110","100","36870","33010"
"In post","2021","Commercial","Unknown","Male","110","110","40320","38240"
"In post","2021","Communications","AA/AO","Female","140","130","22170","21590"
"In post","2021","Communications","AA/AO","Male","100","100","22340","21580"
"In post","2021","Communications","EO","Female","370","350","27400","26970"
"In post","2021","Communications","EO","Male","260","260","27550","27270"
"In post","2021","Communications","G6/G7","Female","560","530","57970","56620"
"In post","2021","Communications","G6/G7","Male","380","380","58220","56960"
"In post","2021","Communications","SCS","Female","70","60","83440","79580"
"In post","2021","Communications","SCS","Male","50","50","91190","84670"
"In post","2021","Communications","SEO/HEO","Female","1190","1140","37870","37410"
"In post","2021","Communications","SEO/HEO","Male","830","820","38080","37410"
"In post","2021","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Female","30","30","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Male","40","40","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Female","40","40","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Female","40","30","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Female","120","110","26410","25580"
"In post","2021","Counter Fraud","EO","Male","70","70","26920","26350"
"In post","2021","Counter Fraud","G6/G7","Female","30","30","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Male","90","80","61810","58820"
"In post","2021","Counter Fraud","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Female","210","200","37240","37910"
"In post","2021","Counter Fraud","SEO/HEO","Male","310","310","37770","38090"
"In post","2021","Digital, Data and Technology","AA/AO","Female","190","180","21760","21420"
"In post","2021","Digital, Data and Technology","AA/AO","Male","250","250","22030","21590"
"In post","2021","Digital, Data and Technology","EO","Female","810","760","27230","26670"
"In post","2021","Digital, Data and Technology","EO","Male","1410","1390","27660","26750"
"In post","2021","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Female","1190","1150","57040","55650"
"In post","2021","Digital, Data and Technology","G6/G7","Male","2270","2250","59010","57460"
"In post","2021","Digital, Data and Technology","SCS","Female","80","80","87410","80420"
"In post","2021","Digital, Data and Technology","SCS","Male","140","140","93360","87910"
"In post","2021","Digital, Data and Technology","SEO/HEO","Female","2340","2220","36870","36740"
"In post","2021","Digital, Data and Technology","SEO/HEO","Male","4530","4470","38210","38070"
"In post","2021","Digital, Data and Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Male","50","50","37220","37440"
"In post","2021","Economics","AA/AO","Female","40","40","[c]","[c]"
"In post","2021","Economics","AA/AO","Male","50","50","22680","22500"
"In post","2021","Economics","EO","Female","60","60","26300","26250"
"In post","2021","Economics","EO","Male","60","60","27640","27680"
"In post","2021","Economics","G6/G7","Female","360","330","59210","57850"
"In post","2021","Economics","G6/G7","Male","590","580","59840","58130"
"In post","2021","Economics","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","Female","30","30","[c]","[c]"
"In post","2021","Economics","SCS","Male","60","60","88330","81610"
"In post","2021","Economics","SEO/HEO","Female","310","310","34670","33880"
"In post","2021","Economics","SEO/HEO","Male","600","590","35070","34000"
"In post","2021","Economics","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Female","810","660","21400","21440"
"In post","2021","Finance","AA/AO","Male","360","330","21440","21130"
"In post","2021","Finance","EO","Female","1050","970","26670","26670"
"In post","2021","Finance","EO","Male","580","570","26390","26670"
"In post","2021","Finance","G6/G7","Female","1020","980","58220","57460"
"In post","2021","Finance","G6/G7","Male","1120","1110","59870","58770"
"In post","2021","Finance","SCS","Female","110","110","88770","81830"
"In post","2021","Finance","SCS","Male","170","170","91720","85100"
"In post","2021","Finance","SEO/HEO","Female","2080","1970","37440","36820"
"In post","2021","Finance","SEO/HEO","Male","1740","1710","38220","37710"
"In post","2021","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Female","80","80","41270","39860"
"In post","2021","Finance","Unknown","Male","60","50","41440","40410"
"In post","2021","Human Resources","AA/AO","Female","890","790","21650","21130"
"In post","2021","Human Resources","AA/AO","Male","320","320","21650","21130"
"In post","2021","Human Resources","EO","Female","990","920","26910","26670"
"In post","2021","Human Resources","EO","Male","390","380","27640","27180"
"In post","2021","Human Resources","G6/G7","Female","1170","1120","57900","56610"
"In post","2021","Human Resources","G6/G7","Male","500","490","59280","57740"
"In post","2021","Human Resources","SCS","Female","130","120","89020","82020"
"In post","2021","Human Resources","SCS","Male","60","60","89200","83690"
"In post","2021","Human Resources","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Female","2350","2210","36610","35990"
"In post","2021","Human Resources","SEO/HEO","Male","1030","1000","37380","36780"
"In post","2021","Human Resources","Unknown","Female","30","30","[c]","[c]"
"In post","2021","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","G6/G7","Female","300","300","74720","75500"
"In post","2021","Inspector of Education and Training","G6/G7","Male","210","200","76280","75500"
"In post","2021","Inspector of Education and Training","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","Female","300","290","51010","51360"
"In post","2021","Inspector of Education and Training","SEO/HEO","Male","40","40","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","Female","80","70","23380","22600"
"In post","2021","Intelligence Analysis","AA/AO","Male","50","40","[c]","[c]"
"In post","2021","Intelligence Analysis","EO","Female","790","720","27450","27370"
"In post","2021","Intelligence Analysis","EO","Male","780","760","28140","27370"
"In post","2021","Intelligence Analysis","G6/G7","Female","180","170","58180","56740"
"In post","2021","Intelligence Analysis","G6/G7","Male","230","230","58900","57740"
"In post","2021","Intelligence Analysis","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","SEO/HEO","Female","510","490","36310","36040"
"In post","2021","Intelligence Analysis","SEO/HEO","Male","760","750","37440","36560"
"In post","2021","Intelligence Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Female","30","30","[c]","[c]"
