"Status","Year","Sexual_orientation","Region_ITL1","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","East Midlands (England)","Commercial","100","100","43010","41500"
"In post","2021","Heterosexual / straight","East Midlands (England)","Communications","60","60","37450","35560"
"In post","2021","Heterosexual / straight","East Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Digital, Data and Technology","180","170","36470","32790"
"In post","2021","Heterosexual / straight","East Midlands (England)","Finance","160","150","35240","31810"
"In post","2021","Heterosexual / straight","East Midlands (England)","Human Resources","270","260","39010","35000"
"In post","2021","Heterosexual / straight","East Midlands (England)","Inspector of Education and Training","60","60","65280","64500"
"In post","2021","Heterosexual / straight","East Midlands (England)","Intelligence Analysis","90","90","29720","27380"
"In post","2021","Heterosexual / straight","East Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Knowledge and Information Management","50","50","35270","33350"
"In post","2021","Heterosexual / straight","East Midlands (England)","Legal","330","300","43860","46210"
"In post","2021","Heterosexual / straight","East Midlands (England)","Medicine","130","130","45200","37890"
"In post","2021","Heterosexual / straight","East Midlands (England)","Operational Delivery","6760","6270","27530","25560"
"In post","2021","Heterosexual / straight","East Midlands (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Other","680","660","25080","21130"
"In post","2021","Heterosexual / straight","East Midlands (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Policy","200","180","41450","36960"
"In post","2021","Heterosexual / straight","East Midlands (England)","Project Delivery","270","260","39330","35290"
"In post","2021","Heterosexual / straight","East Midlands (England)","Property","310","290","35280","33250"
"In post","2021","Heterosexual / straight","East Midlands (England)","Psychology","140","130","34500","30450"
"In post","2021","Heterosexual / straight","East Midlands (England)","Science and Engineering","390","360","38620","37000"
"In post","2021","Heterosexual / straight","East Midlands (England)","Security","110","110","28220","24620"
"In post","2021","Heterosexual / straight","East Midlands (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Tax","700","660","35720","31810"
"In post","2021","Heterosexual / straight","East Midlands (England)","Unknown","3060","2740","26480","27570"
"In post","2021","Heterosexual / straight","East Midlands (England)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Commercial","180","170","39290","35760"
"In post","2021","Heterosexual / straight","East of England","Communications","70","70","35470","33300"
"In post","2021","Heterosexual / straight","East of England","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Digital, Data and Technology","300","290","37090","34620"
"In post","2021","Heterosexual / straight","East of England","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Finance","280","270","38520","35780"
"In post","2021","Heterosexual / straight","East of England","Human Resources","150","140","35360","32050"
"In post","2021","Heterosexual / straight","East of England","Inspector of Education and Training","80","80","65450","75500"
"In post","2021","Heterosexual / straight","East of England","Intelligence Analysis","310","310","32610","33300"
"In post","2021","Heterosexual / straight","East of England","Internal Audit","[c]","[c]","[c]","[c]"
