"Status","Year","Region_ITL2","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Heterosexual / straight","130","120","41700","40000"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Unknown","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Heterosexual / straight","80","70","30080","29460"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions","Heterosexual / straight","790","730","29500","29290"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions","LGBO","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions","Undeclared","100","90","30570","29290"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions","Unknown","250","210","29420","29290"
"In post","2021","Bedfordshire and Hertfordshire","Department of Health and Social Care","Heterosexual / straight","200","190","44480","40450"
"In post","2021","Bedfordshire and Hertfordshire","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department of Health and Social Care","Undeclared","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department of Health and Social Care","Unknown","100","90","44810","41130"
"In post","2021","Bedfordshire and Hertfordshire","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Home Office","Heterosexual / straight","230","200","28770","26410"
"In post","2021","Bedfordshire and Hertfordshire","Home Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Home Office","Undeclared","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Heterosexual / straight","630","620","36060","33370"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Undeclared","90","90","36390","35370"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Unknown","60","60","34860","36630"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","Heterosexual / straight","960","900","28730","27850"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","LGBO","70","70","28680","28630"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","Undeclared","100","100","28410","27970"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","Unknown","200","190","26460","24670"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","Heterosexual / straight","80","80","39140","39700"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Attorney General's Departments","Heterosexual / straight","90","90","42390","38120"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Attorney General's Departments","Unknown","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office","Heterosexual / straight","60","60","33370","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office","Unknown","50","50","38540","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Business, Energy and Industrial Strategy","Unknown","60","60","39120","38130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","Heterosexual / straight","240","240","37830","35900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","Unknown","120","110","31780","29180"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Heterosexual / straight","90","90","46080","51970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Transport","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions","Heterosexual / straight","790","730","28230","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions","LGBO","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions","Undeclared","100","90","28050","28550"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions","Unknown","220","190","28500","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care","Heterosexual / straight","230","200","42240","38200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care","Undeclared","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care","Unknown","100","100","49310","47090"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","Heterosexual / straight","840","810","36750","31390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","LGBO","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","Undeclared","80","80","38270","34770"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","Unknown","90","90","39810","40330"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs","Heterosexual / straight","270","250","32690","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs","Undeclared","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs","Unknown","160","150","29820","25630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Home Office","Heterosexual / straight","70","70","28610","25630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Home Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","Heterosexual / straight","2080","2030","32630","28750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","LGBO","80","80","31170","28010"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","Undeclared","320","310","33540","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","Unknown","320","310","33030","28750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice","Heterosexual / straight","1730","1640","30240","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice","LGBO","150","140","29530","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice","Undeclared","250","230","30920","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice","Unknown","490","460","29320","29920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","National Crime Agency","Heterosexual / straight","70","70","39380","37960"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","National Crime Agency","Unknown","30","30","[c]","[c]"
"In post","2021","Cheshire","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs","Heterosexual / straight","190","190","38530","36520"
"In post","2021","Cheshire","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
