"Status","Year","Sex","Region_ITL2","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Bedfordshire and Hertfordshire","Declared disabled","330","300","30360","29290"
"In post","2021","Female","Bedfordshire and Hertfordshire","Declared non-disabled","1790","1620","31390","29290"
"In post","2021","Female","Bedfordshire and Hertfordshire","Undeclared","120","110","30860","28900"
"In post","2021","Female","Bedfordshire and Hertfordshire","Unknown","340","320","33050","30200"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","560","510","30960","28200"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","3290","3040","31270","28350"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","320","290","31140","28670"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Unknown","620","580","33610","29290"
"In post","2021","Female","Cheshire","Declared disabled","270","240","28350","27570"
"In post","2021","Female","Cheshire","Declared non-disabled","1310","1190","29870","27570"
"In post","2021","Female","Cheshire","Undeclared","130","120","28810","27570"
"In post","2021","Female","Cheshire","Unknown","480","470","31530","30640"
"In post","2021","Female","Cornwall and Isles of Scilly","Declared disabled","130","110","26430","27570"
"In post","2021","Female","Cornwall and Isles of Scilly","Declared non-disabled","670","590","25830","26590"
"In post","2021","Female","Cornwall and Isles of Scilly","Undeclared","50","40","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Unknown","70","60","29480","22640"
"In post","2021","Female","Cumbria","Declared disabled","140","120","26970","24920"
"In post","2021","Female","Cumbria","Declared non-disabled","1010","870","26320","24920"
"In post","2021","Female","Cumbria","Undeclared","50","40","26770","25420"
"In post","2021","Female","Cumbria","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Declared disabled","950","840","29660","27570"
"In post","2021","Female","Derbyshire and Nottinghamshire","Declared non-disabled","4630","4130","30650","27570"
"In post","2021","Female","Derbyshire and Nottinghamshire","Undeclared","390","350","29560","27570"
"In post","2021","Female","Derbyshire and Nottinghamshire","Unknown","960","890","28410","25560"
"In post","2021","Female","Devon","Declared disabled","530","450","27430","26670"
"In post","2021","Female","Devon","Declared non-disabled","3220","2800","30120","27570"
"In post","2021","Female","Devon","Undeclared","170","150","27450","26000"
"In post","2021","Female","Devon","Unknown","430","400","26390","22350"
"In post","2021","Female","Dorset and Somerset","Declared disabled","330","290","27710","27150"
"In post","2021","Female","Dorset and Somerset","Declared non-disabled","1760","1550","28320","27570"
"In post","2021","Female","Dorset and Somerset","Undeclared","150","130","29780","27570"
"In post","2021","Female","Dorset and Somerset","Unknown","270","240","28620","24920"
"In post","2021","Female","East Anglia","Declared disabled","760","680","28220","27570"
"In post","2021","Female","East Anglia","Declared non-disabled","4500","4030","28700","27130"
"In post","2021","Female","East Anglia","Undeclared","460","410","29500","27380"
"In post","2021","Female","East Anglia","Unknown","650","590","31060","26440"
"In post","2021","Female","East Wales","Declared disabled","1060","950","30430","27570"
"In post","2021","Female","East Wales","Declared non-disabled","7460","6760","32450","27570"
"In post","2021","Female","East Wales","Undeclared","410","370","30850","27570"
"In post","2021","Female","East Wales","Unknown","2060","1880","28500","25560"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Declared disabled","280","240","26580","27570"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Declared non-disabled","1730","1500","26780","26750"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Undeclared","140","120","28270","27570"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Unknown","180","170","24950","22350"
"In post","2021","Female","Eastern Scotland","Declared disabled","1100","1000","31990","27570"
"In post","2021","Female","Eastern Scotland","Declared non-disabled","5790","5280","34280","27570"
"In post","2021","Female","Eastern Scotland","Undeclared","290","260","31150","27570"
"In post","2021","Female","Eastern Scotland","Unknown","3540","3290","33200","29350"
